VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg,svar_iv
cat1,-0.341124038633059,-0.490183504452482,-0.543771137850977,-0.121878467178522,-0.349178286925579,-0.16298791017378,-0.243967226872859,-0.710317177701368
cat2,-0.645966242211468,-0.814710466749908,-0.62263913129759,-0.499861749713466,-0.804528932820548,-0.312891513696227,-0.760134536859363,-0.849207734974105
cat3,-0.179371122674047,-0.0856300352800254,-0.0826039516854231,-0.344622796935021,-0.15410383021388,-0.130054636719941,0.0191028648653582,0.316215757923894
cat4,0,0,0,0,0,0,0,0
cat5,0.01974309374126,0.420914733968739,0.293204490287361,-0.147764068620123,0.376050275097571,0.362364393776522,0.813086131183848,1.34933506990543
cat6,0,0,0,0,0,0,0,0
cat7,-0.0910429654497386,-0.215342870509562,-1.05235680473119,-0.0305683925937859,0.025542591871461,0.237381909306804,0.278965320089447,0.86695291084663
cat8,-0.462669818534653,-0.635158557434992,-0.520606708062774,-0.125934674998231,-0.530406617867781,-0.158779594856408,-0.596307493771702,-0.938460831606673
cat9,-0.422114911404422,-0.313499666405643,-0.818507086719302,0.391273898726866,0.207453124767981,0.119216961684882,0.262467473014613,-0.168144487286824
cat10,0,0,0,0,0,0,0,0
h0,-1.45205119470145,-1.31626333184749,-1.15743923388221,-1.88693545644296,-1.57754365988742,-1.14484944415182,-1.95980651169143,-1.7284419990991
h1,-2.27702272834347,-1.66077278396853,-1.53109466690797,-2.62759499303346,-1.70916403342504,-1.51312831220326,-1.71716646057082,-1.36264124094622
h2,-1.68927922721676,-1.71131256807253,-0.980138106411352,-2.25159477776506,-1.89757020592922,-1.06720754965013,-1.485231716317,-0.607005367996785
h3,-1.35932046089954,-1.59882611364788,-0.777909290397609,-1.72225621385913,-1.85996421900513,-1.40888383714544,-1.19257935279064,-0.737966711343599
h4,-1.13365636154386,-1.49771612744073,-0.437700387176382,-1.26183134084071,-1.65309219534049,-1.54475965911236,-0.542938335994268,-0.453419369215114
h5,-0.647852579793183,-0.975890936583642,0.118293547168196,-1.40871523668989,-1.30310218340506,-1.3639095926424,-0.429574071812452,-0.284442282583954
h6,-0.419203533581253,-0.909113504990869,0.30329830500226,-1.26064156125366,-1.17030089398771,-1.15271770652335,-0.488153719722215,0.0711394384812159
h7,-0.483656278131159,-0.920867254885996,0.405142315741501,-1.02225625624126,-0.869507587171477,-1.14149494160142,-0.631427092960977,0.22153259317491
h8,-0.624432790026387,-0.331919593819839,0.309294202696696,-0.687061263516613,-0.896387067374296,-0.938015404905215,-0.219391945256129,0.240223170658463
h9,-0.248022338042042,-0.18053076732161,0.1385528963221,-0.737373982176396,-0.774721145797524,-0.880020269230313,-0.180075521679039,0.0439387325765437
h10,-0.174504844364589,-0.322143339900606,0.363126985187966,-0.736981693317332,-1.02043098400574,-0.849489590811693,0.0309798627513725,0.11188966283657
h11,-0.179021456169984,-0.145968877774737,0.0395254093599129,-0.637840917035205,-0.669209907845717,-1.14452572371652,0.108105444471867,-0.0176090121611768
h12,-0.0677123130798805,0.0379717045165356,0.238813336893094,-0.772253366257815,-0.792567127725298,-0.819913090065937,0.143882550916141,-0.117395325035325
h13,-0.11986481415097,0.0811806834103914,-0.0611524682552722,-0.63118181337323,-0.530382427013742,-0.835877615254349,0.151816792298923,-0.288858238810243
h14,-0.120706849226813,0.0750876410308007,-0.202432329292071,-0.42393176610781,-0.595449674403268,-0.960966351525262,0.0823790057424682,-0.354842879305738
h15,-0.0835781104723729,0.0287241982068177,-0.0644384741821564,-0.291487342699184,-0.208106632603454,-0.737451749705994,0.117465831540796,-0.312680926660626
h16,-0.110677251917904,-0.0758318710776264,-0.132991990071365,-0.41919841768125,-0.175327477106536,-0.584565321419916,0.143066267838123,-0.307297089106179
h17,-0.231524707933623,-0.243900236911702,-0.0946288797346228,-0.217150105938489,-0.249918582835754,-0.588155818335461,0.0765048174304614,-0.325802042477259
h18,-0.034298011517232,-0.216842459867952,-0.119090619317025,-0.10550470985499,-0.341042556771137,-0.475055871841234,0.0514861452415866,-0.16696873866012
h19,0.0137059060424482,-0.0742761569648964,-0.0525285024111913,-0.0650867531512398,-0.132767936534718,-0.58503929444195,-0.119501698811702,-0.0721874047423597
h20,0,0,0,0,0,0,0,0
