VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg,svar_iv
cat1,-0.110601933349198,-0.0673064130626162,-0.110151068299905,0.109965051944709,0.1505860700697,0.111259977135228,-0.215244156114571,-0.16228303871387
cat2,0.142898883477072,0.202200867281317,0.14187140655261,0.518468667160826,0.531388666684844,0.404569323577687,-0.17469299264255,0.0919553716133339
cat3,0.126427390700322,0.175122805236479,0.129586647666571,0.3007273705611,0.348093126688796,0.363940421269553,0.210186054697473,0.0127882973042318
cat4,0,0,0,0,0,0,0,0
cat5,0.0222243251765784,0.0880526134559812,0.0445440841163478,0.129744756439116,0.192836227837282,0.321772748975312,0.619241905836956,-0.00813352756437343
cat6,0,0,0,0,0,0,0,0
cat7,0.159378637738146,0.202658214362204,0.171043057408747,0.158535273002179,0.234255115953953,0.312337116791531,0.437472007474481,-0.0222460841396413
cat8,-0.243175731327144,-0.194526159363687,-0.242305063318604,0.0356201950641896,0.0609544419101682,-0.01358453656709,-0.39565076128033,-0.347262639653795
cat9,0.436002047165864,0.486834870806457,0.441365949195927,0.647557895359086,0.692777778704697,0.633425754299294,0.0581235799056801,0.284444817249702
cat10,0,0,0,0,0,0,0,0
h0,-0.3675171580289,-0.562786116180313,-0.387898087462512,-1.23092910454998,-1.39144582748715,-0.903801895651861,-0.148711809949284,0.00575752475541702
h1,0.0165408061994309,-0.169692302333463,-0.0810507363390346,-0.841236806557414,-0.986970169983898,-0.92101756536266,0.207880337140699,0.113430527133042
h2,0.198280755199457,0.0216498422206543,0.0992374781415443,-0.644311004723051,-0.784347556645814,-0.851040034561793,0.344349846586184,0.0930176036356738
h3,0.317970840901432,0.149721633972288,0.198270932599716,-0.501774132724298,-0.627942464645223,-0.740940148448293,0.469678510070844,0.142650098727773
h4,0.423151925960912,0.262232598317097,0.263264845406969,-0.407199268993489,-0.519172588391051,-0.649334089938808,0.548569895362805,0.14021704164614
h5,0.426975655589469,0.272021626190861,0.278456937087938,-0.310806505003534,-0.409421642394945,-0.543061066024228,0.637753410057571,0.144733149136058
h6,0.374157040742768,0.2453197134395,0.255941137633331,-0.234014808551756,-0.329888515620282,-0.4695151679187,0.678351651024043,0.148004275288433
h7,0.339638248514258,0.227355001485044,0.23184550836292,-0.172632744435924,-0.265579332041283,-0.411673908431185,0.700157354849628,0.152388328355834
h8,0.308193037792049,0.206566679801165,0.213990721514026,-0.150151722093953,-0.227493344977575,-0.379904521742647,0.67728468149104,0.155932853488986
h9,0.26963409047599,0.181971798169601,0.198341544141674,-0.141039541349106,-0.203311636379294,-0.342163866252414,0.64130438381618,0.146876338726245
h10,0.237719194108532,0.149843536718644,0.17856979200154,-0.111744796285049,-0.176017058985052,-0.326883509401394,0.571005825242644,0.143302174801707
h11,0.211039223465991,0.133201725792176,0.14705538209494,-0.0809056827500523,-0.135829170333438,-0.299091551936112,0.513950016733521,0.142554820909779
h12,0.190451994539932,0.117041636650256,0.134992318949684,-0.0784191258573373,-0.122384437557236,-0.286820457690111,0.454469129393691,0.120440287973412
h13,0.15808738132996,0.0961572859426364,0.114268860883943,-0.0565848970988528,-0.0973459928512808,-0.271221215508119,0.378299864719821,0.10784769579015
h14,0.126411650266403,0.0785756002987341,0.0951029297248341,-0.0474764816818318,-0.086322664258924,-0.255841466266003,0.315279315728393,0.088120253813174
h15,0.107355776740329,0.0654566350804728,0.0724451130414488,-0.0481274832423293,-0.0677232583568697,-0.238681380010029,0.26963826341819,0.0817506429554635
h16,0.0888681307577194,0.0548106642551194,0.0556094600509647,-0.0185711827556425,-0.049887287876287,-0.231494077814325,0.196338049604478,0.0522490446552812
h17,0.0681577988388257,0.0425102575103818,0.0363904696216731,-0.0218085180930459,-0.0346962425654734,-0.202739616208953,0.149166403074607,0.0445688319141606
h18,0.0445668640186619,0.0221315757361493,0.0268117632812577,-0.0160450732581964,-0.0310076500880661,-0.161431204231863,0.108895267605376,0.0306978668762308
h19,0.0270860816348533,0.0124889269795414,0.0151939520586491,-0.00189334237400538,-0.0123227126446156,-0.107691044977521,0.0588251646979165,0.0184069931353967
h20,0,0,0,0,0,0,0,0
