VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg,svar_iv
cat1,-0.334753387988475,-0.55491177421333,-0.506383969331186,-0.175369278191114,-0.308414923817828,-0.141274194689573,-0.278189060208753,-0.671752489145071
cat2,-0.371387087808803,-0.404947218161507,-0.730639913350089,-0.280489337582422,-0.976993876602349,-0.314148861096197,-0.536392631202702,-0.990868845755141
cat3,-0.250639947596907,-0.0528188545570294,0.0387680409851632,-0.363026426055145,-0.206045346039863,-0.152704558927452,0.138819720771738,0.268347915415536
cat4,0,0,0,0,0,0,0,0
cat5,-0.0829699064814032,-0.0398492359557348,0.754579194735764,-0.225737308739019,0.992089841288166,0.362718078595696,0.863256746859168,1.25806118887247
cat6,0,0,0,0,0,0,0,0
cat7,-0.224676829805512,-0.383902505723836,-0.449568051856913,0.115194570224821,0.269910191173251,0.176563665141883,-0.16270594810998,0.463470673479922
cat8,-0.372064284177304,-0.786497986323871,-0.848475511604513,-0.155043783019276,-0.590355934754347,-0.177917647254586,-0.638333375579002,-0.825110578287632
cat9,-0.779200460385242,-1.12848452504206,-0.883481842412384,0.374821403922065,0.460011928588524,0.229427475633155,0.199773786173079,-0.0659858616388886
cat10,0,0,0,0,0,0,0,0
h0,-2.64054863247934,-2.30354895931253,-2.27936585330235,-3.10230686956349,-2.84816368849434,-1.42811581852189,-3.46800931294805,-2.72420877685306
h1,-1.85207413450079,-2.14792983831695,-1.66696262614275,-2.44226667270088,-2.80749190630977,-1.08687751161501,-1.62980579616881,-1.20288854078407
h2,-1.48043485772577,-1.33404752494051,-1.42028861808797,-1.84699891818617,-1.59499086844734,-1.17769157605965,-1.83750328615097,-0.670560754478378
h3,-1.20308899868923,-1.45494991307684,-0.66233931842557,-1.50593614407066,-1.69170460783296,-1.69168457864428,-0.995264868052151,-0.485700576467348
h4,-0.928109425995399,-1.06423862701961,-0.364537240172834,-1.2730542193968,-1.19066929410699,-1.30861157622501,-0.660996840386151,-0.212418075124385
h5,-0.516858351910898,-0.441675718594401,0.115429090678123,-1.23019204212961,-1.09097722283106,-0.961301383104472,-0.527947050004733,-0.296919288816954
h6,-0.486693460750133,-0.526932588363797,0.358064768913232,-0.991687577567704,-1.23545181132217,-0.995929456217184,-0.653299950945157,0.0323083524421279
h7,-0.403846195857901,-0.2119535209125,0.348271285526223,-0.70747223630539,-0.803386649528963,-1.04039023458496,0.018191680202686,0.236712202392102
h8,-0.19967671379661,-0.0781510421474533,0.580589314643932,-0.633700233829882,-0.809719989833636,-0.771359965123012,0.172960221515627,0.279181513524219
h9,-0.00859685988541893,0.0340802030084273,0.562753443915528,-0.844093325435766,-1.05775513036572,-0.776355839012084,0.256047444947992,0.154639891360835
h10,-0.149600843597888,-0.109591047632938,0.438001625952616,-0.76071809196537,-0.601404312087614,-0.699620322244024,0.287893797580306,0.151204261484593
h11,-0.363988326537618,-0.237850716443564,0.287162656863588,-0.236976278997204,-0.578448304459907,-0.828342132013056,0.319593859604514,0.0584126299541309
h12,-0.311480195365647,-0.0308849564631305,0.140939817419064,-0.391002711149308,-0.298979032157596,-0.812884852681524,0.288424748603961,-0.307525065318476
h13,-0.208229829953727,0.0087184172826228,-0.321558901673438,-0.228980593167626,-0.474428739247178,-0.874991211254211,0.250685829865798,-0.159295373225308
h14,-0.191864034998633,0.0583039368679509,-0.223941667811225,-0.205445361069406,-0.46882575971072,-0.718587774612373,0.204281111814778,-0.446303554859785
h15,-0.149319384351879,-0.0739228865451231,-0.36627143038817,-0.581723932555897,-0.353541709782058,-0.683700270685844,0.165959368694397,-0.250486097096391
h16,-0.19365219031943,-0.112961538833758,-0.381575427753743,-0.0813340599810815,-0.261011151986721,-0.641603186605978,0.111298147361785,-0.23971779306615
h17,-0.177341075808364,-0.886392989336395,-0.506639951376685,-0.161806281780873,-0.315013704978272,-0.509202769726012,0.101211818672645,-0.249981915044608
h18,-0.124107828702385,-0.0721501936337267,-0.622990004486056,-0.139398421370061,-0.251223891053639,-0.700143752314778,0.0224466063059019,-0.199980577209352
h19,-0.00312869262111555,0.0164988631686512,-0.253071383985419,-0.0775438580693188,-0.22665715740228,-0.265229017543437,0.0546342990770853,-0.0652096965069871
h20,0,0,0,0,0,0,0,0
