VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg
cat1,-0.364467402473217,-0.514044541326793,-0.437064733882104,-0.119694089479538,-0.367900653508739,-0.174535068871338,-0.168528510156937
cat2,-0.665665235740499,-0.776433036273618,-0.902713452874331,-0.282802783454208,-1.02881783822512,-0.387923319359232,-0.37050738639922
cat3,-0.255091471890032,-0.104606356568969,-0.0706332262359317,-0.437476292315882,-0.358952423950925,-0.169481074090978,-0.181553026802998
cat4,0,0,0,0,0,0,0
cat5,0.212277193531285,0.319485624323356,0.518631357197388,-0.332329134954561,0.623684837165587,0.18621730378065,0.264563903565911
cat6,0,0,0,0,0,0,0
cat7,-0.396893841040938,-0.733581046694733,-0.433269223238042,-0.439597687482249,-0.1297499417731,0.169488074030568,-0.211732359494122
cat8,-0.649414928436866,-0.732182515118138,-0.493595271033243,-0.146298937713952,-0.553479450152479,-0.14665188217426,-0.396562968021307
cat9,-0.402543189114636,-0.689747121685699,-0.551038232983547,0.212106677372874,0.242958902741426,0.187709694697249,0.0326478535693464
cat10,0,0,0,0,0,0,0
h0,-3.02253587147444,-2.89493145329988,-1.68270986534827,-3.55067382802181,-3.04481562690858,-1.36219276776533,-3.56520295501625
h1,-1.79853773645756,-2.27333702079785,-1.53170144435876,-2.31258297186152,-2.19955781300402,-0.984689825569614,-1.93813985560864
h2,-1.36184492194872,-1.93471871321626,-1.10198071750871,-1.87642869122771,-1.91156640775165,-1.06320730948571,-1.89831684076373
h3,-0.981726765830395,-1.3784569228547,-0.725227770565074,-1.55481911874514,-1.83093101974773,-1.43062243073578,-1.12014717863926
h4,-0.649652184635757,-0.90752633527616,-0.510075725366448,-1.18628104114436,-1.35024181865529,-1.22782973288854,-0.542813515518272
h5,-0.290312785971508,-0.49197430008585,0.135172550853371,-0.939013265945519,-1.12188372358558,-1.00846017060702,-0.398373013421676
h6,0.0396860848158187,0.0790367750779139,0.472985388329333,-0.727311880112812,-0.865065760531627,-0.882423527444752,-0.414774106462525
h7,0.179997437722945,0.055320729527627,0.544705139953869,-0.476884096597544,-0.737571956605529,-0.808650966042436,-0.241668695556496
h8,0.143766855233298,0.021695110590548,0.598635459683186,-0.383081835416545,-0.668444390351495,-0.888140103640379,-0.115607338296953
h9,0.187486281932289,0.255188391323114,0.634332865755727,-0.423329213576764,-0.602614806037979,-1.02345028299053,0.00649189419715233
h10,0.252899058568351,0.196340841562513,0.576310183208748,-0.388966173978135,-0.509570916630167,-0.840009439871843,0.0391700225052868
h11,0.197550888460265,0.244307296883248,0.404330779155632,-0.213744777962081,-0.309682023172711,-0.85024413010981,0.157404089501721
h12,0.104593460324724,0.116265801553806,0.231306861204347,-0.123742649596278,-0.143220854313451,-1.00517813460755,0.198084068620669
h13,0.00935455264967907,-0.320890652644849,0.03304925252694,-0.106518552106491,-0.0306511161202397,-1.13578694967743,0.170181241884747
h14,-0.114862887753326,-0.182300458101698,-0.223009415885755,-0.0489046106186565,0.0557394152237437,-0.854283658294664,0.172835433517683
h15,-0.172553949626158,-0.015819412845831,-0.13491760775035,-0.0232329058859969,0.0996516420826156,-0.72149905540294,0.17380284710199
h16,-0.188162739214312,-0.00977210043694287,-0.377694180929939,-0.0166920565165461,0.126971326015306,-0.590592480720114,0.153777723604699
h17,-0.131051411186718,-0.365562394468415,-0.322036857196292,0.04290955123801,0.190745568226158,-0.394679893768726,0.154543866110891
h18,-0.0485700199578191,0.0222875768683788,-0.266375345714019,0.0293687607244774,0.1920263118851,-0.33566083777688,0.125770314343062
h19,0.0648195293134087,-0.0712980529821389,-0.0687633711706432,0.0207415241178651,0.113813279552326,-0.316381327655028,0.0482352792873439
h20,0,0,0,0,0,0,0
