VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg
cat1,0.00987672698019235,0.0308307334340696,0.0993819057811243,0.214007443151511,-0.0478756777312109,-0.209156426411646,0.27193123343999
cat2,0.509728737242408,0.0737087318329206,0.0587036573527175,0.386070282392503,-0.139323037275213,0.107712796639791,0.103974266665506
cat3,-0.214874799256738,-0.237109243802155,-0.267047063892957,-0.335377964557964,-0.484949770969275,-0.178184080978475,-0.409047732058206
cat4,0,0,0,0,0,0,0
cat5,-1.20707253493806,-0.627687703383796,-0.606232499672306,-0.755246380049534,-0.508746520838548,-0.435398779946873,-0.332819463697497
cat6,0,0,0,0,0,0,0
cat7,-1.85343168084905,-1.746760616913,-1.60997410041901,-1.71973506216472,-2.36737282841811,-0.873395291642483,-1.00800768615981
cat8,-0.748976028880988,-0.645761392959296,-0.56129611626592,-0.357917509314985,-0.72150857148295,0.12040207463702,-0.314138247805601
cat9,-0.159904233954788,0.32893945392818,0.505204314621903,-0.716368092911887,-0.542236804256833,-0.462086708876793,-0.213047055352146
cat10,0,0,0,0,0,0,0
h0,-17.3066875118569,-17.4166415394458,-17.5758747114645,-17.5413887518436,-16.5984916812206,-0.889456884334991,-17.6802723071846
h1,-1.73550584233782,-1.91679013834557,-1.41408025717204,-2.6430035602752,-1.69820529852038,-1.28233378891628,-1.74561609910646
h2,-1.50815085338533,-1.48722286843523,-0.823706962553603,-3.07767417358625,-1.35479436088259,-0.714900808423235,-2.17296565102023
h3,-1.23725116647968,-1.21902249720278,-0.749058958536302,-1.66482355596577,-0.867020057567,-0.591500368503568,-0.972731083147922
h4,-0.915227707693641,-1.09881000871631,-0.58950677455125,-1.31543665131897,-0.625977816688426,-1.15738958823604,-0.819339958986115
h5,-0.458363312611806,-0.944412516060272,-0.25817566535888,-1.07133880570458,-0.446262039725948,-0.845631697223067,-0.370387430370534
h6,-0.320154318235361,-0.753477393073575,-0.365037744667875,-0.901615083091826,-0.242239459492486,-0.595665291531104,-0.154458495370099
h7,-0.334200677249,-0.837719193572165,-0.0290808822279185,-0.932590840370858,0.0212138586641333,-0.441422288105845,-0.0329094632483204
h8,-0.411805801279507,-1.136562742668,-0.0238873187842232,-0.576823773481162,0.156708434233602,-0.438119008897114,0.0330967857705385
h9,-0.432334617006067,-1.38813872899483,-0.183758214258039,-0.365315717860102,0.113757617720848,-0.471687172432533,-0.0174297842343166
h10,-0.60979426442825,-1.15612877731896,-0.194775857469257,-0.221012765041921,0.0689039972885112,-0.504865567397919,-0.125966500919208
h11,-0.464801302445651,-0.917634404864258,-0.336006945760193,-0.0899902149413406,0.183806401893421,-0.537609107279591,-0.259755981500853
h12,-0.405303619399885,-0.726689468505645,-0.203516985066675,-0.0313946255484054,0.142703751122233,-0.575712475518469,-0.221373962388159
h13,-0.549386160835619,-0.5701162833783,-0.418036622140968,-0.0294442399712108,0.288160743718047,-0.623382820499483,-0.181088782562731
h14,-0.250050329735127,-0.29268263758184,-0.447724776720368,0.0445715505035606,0.392596852622207,-0.639424407766925,-0.113821499712392
h15,-0.174039740876665,-0.167770720964611,-0.162544960137031,0.0518282213537845,0.416351657945495,-0.540229962931594,-0.105799045547809
h16,0.00336201966034351,-0.114002195124898,-0.0932304974769643,0.00833224277477022,0.276357842805784,-0.417541455939475,-0.127706747384629
h17,0.093364140767194,-0.198959122822899,-0.0918293263149786,-0.0194714524558583,0.234481365446475,-0.31707960243535,-0.165376139374246
h18,0.0911637651414773,-0.0503012642272946,-0.304051919829772,-0.119441717130038,0.130861292151583,-0.28385149715971,-0.0609909021109484
h19,-0.0626860915249939,0.00119835830563035,-0.0457894050217409,-0.280660561498743,0.222006834655766,-0.206345569272756,-0.0189596901015859
h20,0,0,0,0,0,0,0
