VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg
cat1,NaN,NaN,NaN,0.395471629833081,0.441091676327069,0.00113926247037947,NaN
cat2,NaN,NaN,NaN,0.784412871419583,0.811869864845742,0.482260002177618,NaN
cat3,NaN,NaN,NaN,0.151141141848384,0.197752728321483,0.216840646498723,NaN
cat4,0,0,0,0,0,0,0
cat5,NaN,NaN,NaN,-0.370371237208506,-0.307344519435904,-0.342951318473271,NaN
cat6,0,0,0,0,0,0,0
cat7,NaN,NaN,NaN,-0.459402314182729,-0.399238386150199,0.0572117924971062,NaN
cat8,NaN,NaN,NaN,-0.218973292658604,-0.189911325696218,0.314064529227171,NaN
cat9,NaN,NaN,NaN,0.891650583258124,0.932573889211536,0.926679951936703,NaN
cat10,0,0,0,0,0,0,0
h0,NaN,NaN,NaN,-18.0445607234843,-18.2137013110988,-1.27585619702937,NaN
h1,NaN,NaN,NaN,-1.18783031349968,-1.34960172370016,-1.23529231401164,NaN
h2,NaN,NaN,NaN,-0.840599873991062,-0.990385875556494,-1.09054868083558,NaN
h3,NaN,NaN,NaN,-0.672585981698087,-0.809109015056933,-0.91953971621699,NaN
h4,NaN,NaN,NaN,-0.557822381266662,-0.687409666047158,-0.763349808760524,NaN
h5,NaN,NaN,NaN,-0.432959417237115,-0.550080623232407,-0.647147181222712,NaN
h6,NaN,NaN,NaN,-0.353223115705988,-0.461021008507461,-0.561112970541896,NaN
h7,NaN,NaN,NaN,-0.281961968489926,-0.377886959436246,-0.490655242882392,NaN
h8,NaN,NaN,NaN,-0.249237317653557,-0.335632230132176,-0.436603776044347,NaN
h9,NaN,NaN,NaN,-0.203987953250973,-0.284781139774496,-0.37024016852723,NaN
h10,NaN,NaN,NaN,-0.147587062689472,-0.223513035321116,-0.319321738525785,NaN
h11,NaN,NaN,NaN,-0.111745331330075,-0.172151887016349,-0.290352892077952,NaN
h12,NaN,NaN,NaN,-0.0879330351767352,-0.142755499974009,-0.260447162202024,NaN
h13,NaN,NaN,NaN,-0.0692029348609966,-0.11701892976398,-0.243853161177106,NaN
h14,NaN,NaN,NaN,-0.0792669917258102,-0.112512511569972,-0.231181242971579,NaN
h15,NaN,NaN,NaN,-0.0832506515619534,-0.103984491723479,-0.222482178943211,NaN
h16,NaN,NaN,NaN,-0.0520653600569252,-0.0656384125229378,-0.204632641741639,NaN
h17,NaN,NaN,NaN,-0.0340461395200425,-0.0471621104649112,-0.192014976010801,NaN
h18,NaN,NaN,NaN,-0.0262836344915931,-0.0398017409808493,-0.156796666917278,NaN
h19,NaN,NaN,NaN,-0.00766344055839969,-0.00837120393149217,-0.0879027500151404,NaN
h20,0,0,0,0,0,0,0
