VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg
cat1,0.0405738535910696,-0.017542726447591,0.0250432905176014,0.17964094186611,0.0871472585224025,-0.188013866858755,0.242055949872108
cat2,0.559862674933809,-0.074024865662934,-0.033553091726146,0.284405053408789,-0.213490990337149,0.144860040309643,-0.265033926389436
cat3,-0.196403518696897,-0.128003034040627,-0.259694137869781,-0.252326714629054,-0.298055167849551,-0.162514954578603,-0.29198750050763
cat4,0,0,0,0,0,0,0
cat5,-1.0779397657461,-0.412073325848668,-0.599941014670494,-0.676068673059371,-0.265836716230674,-0.47173919637514,0.550334003237323
cat6,0,0,0,0,0,0,0
cat7,-1.95800495539646,-1.24894821437744,-1.89137295362909,-1.4191138537896,-1.84811297185079,-0.844892093704517,-0.541873940944247
cat8,-0.7806537852469,-0.782059796818822,-0.636332522474483,-0.518234844187955,-0.666742463142664,0.150421230234852,-0.391352082764744
cat9,-0.198478180025792,0.281813827261508,0.45169802482087,-0.479393834077031,-0.381523178458836,-0.327374964814516,0.504831559090813
cat10,0,0,0,0,0,0,0
h0,-17.2635375795178,-17.3750805893447,-17.3154091089975,-17.4712332818306,-17.0478076107514,-1.07038157277723,-17.9627619441832
h1,-2.01271334276422,-2.26805659030993,-1.12511495690175,-2.89088747608372,-2.49119345924063,-1.3845147199179,-1.68114771268144
h2,-1.4802011748225,-1.88729063918258,-0.631282649498549,-2.03408649600594,-1.63672813215071,-0.746006119209331,-1.17510768560298
h3,-1.13241353854678,-1.10260785879183,-0.457073567650706,-2.11653095122711,-1.32547473181172,-0.658890579220192,-0.94227169550693
h4,-0.876029943989592,-1.13860014228339,-0.471027767541236,-1.29587958126141,-1.19548704513561,-1.01936759432096,-0.563928065497191
h5,-0.468974491065879,-0.860642329310616,-0.0139165647378328,-0.921635209682394,-1.05563863520306,-0.802045893760562,-0.317109773504557
h6,-0.319286898113427,-0.853394870451915,-0.0336632132127882,-1.0690571123833,-1.05205880122662,-0.623171743336503,-0.279794467199922
h7,-0.345501571287513,-0.87123601460651,0.291565260234841,-0.772291358157965,-0.7958673967294,-0.495277883505363,-0.305857809674712
h8,-0.461906347223256,-0.976245183268437,0.293403189067766,-0.549890875714762,-0.419218281091971,-0.478115530499432,-0.472811033882492
h9,-0.577045880425681,-1.02320570480076,0.107744308935676,-0.469314524665782,-0.896002431264697,-0.513772734229811,-0.380412547835679
h10,-0.45565807032217,-1.07944282843892,0.0555660073301478,-0.215425381364424,-0.377639676135892,-0.509504207174517,-0.3430386236679
h11,-0.642822269198124,-0.82602640275452,-0.105737645358259,-0.0816920117801017,-0.327596205269524,-0.562218104728642,-0.576899819384675
h12,-0.543262846204961,-0.814511735859858,0.0346544017221971,-0.06794207192069,-0.280723523495397,-0.624296481628106,-0.401170200563724
h13,-0.669063097392902,-0.480155268281781,-0.0223593023622599,-0.0718408903225874,-0.220441090907155,-0.728909985989719,-0.335585522772162
h14,-0.338918954253441,-0.303766908558874,-0.351097984607916,0.0669500558588915,-0.169650654753963,-0.71556406647908,-0.385539367300706
h15,-0.235461313379829,-0.208656735302922,-0.0873385793654167,0.100398429586023,-0.174156518848483,-0.796354654848475,-0.4981979787862
h16,-0.130708206682312,-0.621240689270555,-0.0116596633349217,0.0396338434690049,-0.109593475361757,-0.483725545030353,-0.188454374638234
h17,-0.0280094595221991,-0.0677719392722496,-0.31463860389788,-0.0673674909729956,-0.431302533283203,-0.375486624596496,-0.0808058865498375
h18,0.130694111434705,0.00707663480522686,0.0222151846019968,-0.199271721892257,-0.512706846821533,-0.326303222996332,-0.0621265883796251
h19,0.119383290403719,0.028444946423184,0.0553856635895564,-0.124378780267368,-0.0402184139254946,-0.18139380220199,-0.0164944212390471
h20,0,0,0,0,0,0,0
