VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg
cat1,NaN,NaN,NaN,0.333945889265554,0.381062490985288,-0.0644418399928533,NaN
cat2,NaN,NaN,NaN,0.703891213778249,0.733793926910003,0.408416993893072,NaN
cat3,NaN,NaN,NaN,0.0738357822250052,0.124972343580363,0.142298158390954,NaN
cat4,0,0,0,0,0,0,0
cat5,NaN,NaN,NaN,-0.441671938864616,-0.377703439863873,-0.432007292118091,NaN
cat6,0,0,0,0,0,0,0
cat7,NaN,NaN,NaN,-0.539460158343807,-0.478646668691185,-0.043393713696128,NaN
cat8,NaN,NaN,NaN,-0.280470305053074,-0.2521158355527,0.24325498750096,NaN
cat9,NaN,NaN,NaN,0.818840614655831,0.859811012196556,0.843001397821533,NaN
cat10,0,0,0,0,0,0,0
h0,NaN,NaN,NaN,-17.8701843867682,-18.0478913211807,-1.2043875182464,NaN
h1,NaN,NaN,NaN,-1.19554484664727,-1.36648186717,-1.24749772741243,NaN
h2,NaN,NaN,NaN,-0.867204630566301,-1.02517381121046,-1.06987415535082,NaN
h3,NaN,NaN,NaN,-0.699755947557508,-0.845787782145254,-0.897204281068078,NaN
h4,NaN,NaN,NaN,-0.572457444012095,-0.706725579671122,-0.75874377782272,NaN
h5,NaN,NaN,NaN,-0.454464636487611,-0.578485629996961,-0.646196439069355,NaN
h6,NaN,NaN,NaN,-0.372775041261949,-0.486958159952467,-0.55566753787384,NaN
h7,NaN,NaN,NaN,-0.308767568646958,-0.413273913627169,-0.482694721540686,NaN
h8,NaN,NaN,NaN,-0.25665723728164,-0.351164546704477,-0.422278583074447,NaN
h9,NaN,NaN,NaN,-0.208541931497085,-0.295005364991843,-0.3737127652319,NaN
h10,NaN,NaN,NaN,-0.175138075856582,-0.252326067391844,-0.334160581195847,NaN
h11,NaN,NaN,NaN,-0.144767325007133,-0.213402921928312,-0.299630234750472,NaN
h12,NaN,NaN,NaN,-0.123739669723949,-0.184789439913207,-0.271949411484884,NaN
h13,NaN,NaN,NaN,-0.106523258384693,-0.1593503024551,-0.248685093068866,NaN
h14,NaN,NaN,NaN,-0.0923300502949391,-0.136150386061161,-0.230582838764028,NaN
h15,NaN,NaN,NaN,-0.0753956553870069,-0.111751933103941,-0.213082963600603,NaN
h16,NaN,NaN,NaN,-0.0561432995455037,-0.0858048428998416,-0.194149517966429,NaN
h17,NaN,NaN,NaN,-0.0324185313690637,-0.0553801501870725,-0.172150323261592,NaN
h18,NaN,NaN,NaN,-0.0262850963752788,-0.0409453783743381,-0.138596615253924,NaN
h19,NaN,NaN,NaN,-0.0134852448008903,-0.0210328937924385,-0.0841520964504306,NaN
h20,0,0,0,0,0,0,0
