VARIABLE,svar,lp_corrbias,lp_lagaug,lp_gls,varlp_avg
cat1,0.298255971283359,0.316883658778616,0.240111009498182,-0.179252939652552,0.386628958618288
cat2,0.726625419936009,0.81857856604812,0.840587107296013,-5.96884571069392,1.12992509408355
cat3,-0.760131872589628,-0.755288041736817,-0.538027717415841,2.36824445983923,-0.973322761963036
cat4,0,0,0,0,0
cat5,-2.56442109487469,-2.18568585557568,-2.01459920476983,9.55424326458837,-3.22059705212647
cat6,0,0,0,0,0
cat7,0,0,0,0,0
cat8,0.1889039630296,0.579304839822643,0.350464203146071,-5.33700206160391,1.0208845406831
cat9,0.531119596985629,0.266151717339463,-0.440479731327284,-0.0304208262064993,0.0695774556230486
cat10,0,0,0,0,0
h0,-13.324900021344,-13.5518588855086,-13.8211374130285,-0.468820933941184,-13.5441549032116
h1,-1.11152088580679,-2.1619456340272,-1.8606779870529,0.396748483600986,-1.38798102388065
h2,-0.702431411349648,-1.41589164602064,-1.4529503918521,0.573050869956493,-0.965256584706774
h3,-0.754165203890821,-1.52865478191219,-1.16766802395948,0.926083458473546,-1.44177802749994
h4,-1.0266663344002,-1.1272000235745,-0.525923256530861,1.21219089931052,-1.02525381857182
h5,-0.470766904137382,-0.787356098622262,-0.0565505499961093,1.24568973304898,-0.259342340163301
h6,-0.278083783150899,-0.44920846437571,-0.0229913935024342,1.17493552420331,-0.130582594366559
h7,-0.0833126019776173,-0.389289623054727,-0.0227951232112914,1.11705728466684,-0.179733630676057
h8,-0.175535792094357,-0.835572358809395,-0.259224142003299,0.846759869869532,-0.183366588298524
h9,-0.361652973560749,-0.590623465753155,-0.119827631453454,0.685011452326759,-0.423559431952589
h10,-0.604393004559925,-0.713299942757067,-0.169983246070517,0.729786224505407,-0.580271879506157
h11,-0.889587064196118,-0.954492909791936,-0.254696060461156,0.541865623545988,-0.986666465620734
h12,-0.685871324877758,-0.866641220349095,-0.362929778762894,0.287075872992145,-0.446976238704771
h13,-0.643779789160408,-0.840415106675463,-0.679746390301113,0.270441719892786,-0.708473832133064
h14,-0.491927726452201,-0.518270077445567,-0.476127534135703,0.460345456944627,-0.407728695836499
h15,-0.284088763155502,-0.428007061944876,-0.875061819244375,0.380414215566293,-0.204203143263734
h16,-0.375287370396242,-0.189635243926144,-0.438247477279317,0.40045437176807,-0.0149029498704265
h17,-0.0751441052305038,-0.318227724590764,-0.321062306639711,0.226725253887977,-0.291250208431263
h18,0,0,0,0,0
h19,0.00218271289538768,-0.181937419431101,-0.182246192813514,0.284362439611347,-0.107212986490845
h20,-0.31968013372266,-0.955276333178363,0.127603116526742,0.302983810618679,-0.337299386885192
