Date,ngov,pgdp,ngdp,pop
1947,40.274,11.96,243.164,143143
1947.25,40.138,12.131,245.968,143790
1947.5,39.361,12.335,249.585,144449
1947.75,39.534,12.639,259.745,145122
1948,40.875,12.739,265.742,145709
1948.25,42.884,12.854,272.567,146289
1948.5,44.66,13.092,279.196,146921
1948.75,46.603,13.132,280.366,147607
1949,48.585,13.062,275.034,148254
1949.25,50.381,12.931,271.351,148847
1949.5,50.356,12.872,272.889,149485
1949.75,49.91,12.873,270.627,150167
1950,48.956,12.853,280.828,150786
1950.25,49.643,12.897,290.383,151319
1950.5,49.746,13.177,308.153,151973
1950.75,53.713,13.425,319.945,152658
1951,62.033,13.909,336.000,153291
1951.25,69.821,14.002,344.090,153902
1951.5,78.046,14.01,351.385,154610
1951.75,83.314,14.17,356.178,155344
1952,84.998,14.163,359.820,155976
1952.25,88.987,14.18,361.030,156587
1952.5,90.931,14.339,367.701,157267
1952.75,93.418,14.378,380.812,157986
1953,95.764,14.381,387.980,158574
1953.25,97.925,14.409,391.749,159160
1953.5,96.622,14.47,391.171,159889
1953.75,96.747,14.497,385.970,160639
1954,94.831,14.543,385.345,161328
1954.25,92.534,14.556,386.121,161983
1954.5,91.148,14.575,390.996,162731
1954.75,91.356,14.615,399.734,163524
1955,91.869,14.683,413.073,164204
1955.25,92.533,14.744,421.532,164864
1955.5,94.099,14.847,430.221,165612
1955.75,93.331,14.995,437.092,166419
1956,94.848,15.144,439.746,167109
1956.25,98.247,15.234,446.010,167788
1956.5,98.279,15.425,451.191,168573
1956.75,101.345,15.487,460.463,169416
1957,105.342,15.7,469.779,170172
1957.25,105.842,15.81,472.025,170869
1957.5,107.405,15.904,479.490,171638
1957.75,110.062,15.915,474.864,172417
1958,109.843,16.087,467.540,173064
1958.25,113.624,16.134,471.978,173729
1958.5,115.093,16.232,485.841,174483
1958.75,117.992,16.309,499.555,175288
1959,117.195,16.347,510.330,176045
1959.25,118.535,16.372,522.653,176727
1959.5,119.492,16.435,525.034,177481
1959.75,118.608,16.499,528.600,178268
1960,116.951,16.566,542.648,179319
1960.25,118.38,16.607,541.080,180401
1960.5,122.419,16.665,545.604,181301
1960.75,124.33,16.714,540.197,182019
1961,126.218,16.75,545.018,182634
1961.25,127.254,16.789,555.545,183337
1961.5,129.961,16.832,567.664,184103
1961.75,133.516,16.885,580.612,184894
1962,137.107,16.972,594.013,185553
1962.25,138.426,16.999,600.366,186203
1962.5,142.052,17.035,609.027,186926
1962.75,143.562,17.07,612.280,187680
1963,143.724,17.145,621.672,188299
1963.25,144.132,17.175,629.752,188906
1963.5,149.927,17.198,644.444,189631
1963.75,150.989,17.337,653.938,190362
1964,152.554,17.392,669.822,190954
1964.25,154.314,17.432,678.674,191560
1964.5,156.033,17.502,692.031,192256
1964.75,156.152,17.581,697.319,192938
1965,157.025,17.67,717.790,193467
1965.25,159.808,17.751,730.191,193994
1965.5,166.761,17.819,749.323,194647
1965.75,172.619,17.942,771.857,195279
1966,177.032,18.057,795.734,195763
1966.25,181.659,18.205,804.981,196277
1966.5,189.466,18.381,819.638,196877
1966.75,193.621,18.535,833.302,197481
1967,202.588,18.612,844.170,197967
1967.25,203.811,18.707,848.983,198455
1967.5,208.379,18.886,865.233,199012
1967.75,213.293,19.096,881.439,199572
1968,219.749,19.308,909.387,199995
1968.25,223.637,19.511,934.344,200452
1968.5,227.37,19.703,950.825,200997
1968.75,231.347,19.981,968.030,201538
1969,233.705,20.187,993.337,201955
1969.25,236.859,20.444,1009.020,202419
1969.5,242.535,20.731,1029.956,202986
1969.75,242.838,20.998,1038.147,203584
1970,247.889,21.294,1051.200,204086
1970.25,249.143,21.591,1067.375,204721
1970.5,254.584,21.768,1086.059,205419
1970.75,258.708,22.056,1088.608,206130
1971,261.905,22.391,1135.156,206763
1971.25,266.118,22.685,1156.271,207362
1971.5,269.783,22.916,1177.675,208000
1971.75,272.067,23.107,1190.297,208642
1972,282.228,23.458,1230.609,209142
1972.25,286.464,23.604,1266.369,209637
1972.5,284.316,23.83,1290.566,210181
1972.75,291.749,24.134,1328.904,210737
1973,299.571,24.412,1377.490,211192
1973.25,302.709,24.787,1413.887,211663
1973.5,304.189,25.27,1433.838,212191
1973.75,312.593,25.773,1476.289,212708
1974,324.586,26.26,1491.209,213144
1974.25,334.957,26.88,1530.056,213602
1974.5,346.71,27.668,1560.026,214147
1974.75,359.228,28.482,1599.679,214700
1975,370.138,29.129,1616.116,215135
1975.25,373.408,29.562,1651.853,215652
1975.5,385.394,30.084,1709.820,216289
1975.75,395.571,30.587,1761.831,216848
1976,401.291,30.911,1820.487,217314
1976.25,400.985,31.222,1852.332,217776
1976.5,403.517,31.626,1886.558,218338
1976.75,410.818,32.192,1934.273,218917
1977,421.202,32.711,1988.648,219427
1977.25,431.362,33.172,2055.909,219956
1977.5,438.014,33.576,2118.473,220573
1977.75,446.749,34.301,2164.270,221201
1978,452.589,34.8,2202.760,221719
1978.25,472.288,35.465,2331.633,222281
1978.5,484.229,36.067,2395.053,222933
1978.75,496.241,36.806,2476.949,223583
1979,501.818,37.476,2526.610,224152
1979.25,516.508,38.394,2591.247,224737
1979.5,533.106,39.234,2667.565,225418
1979.75,547.775,39.962,2723.883,226117
1980,568.781,40.801,2789.842,226754
1980.25,588.547,41.772,2797.352,227389
1980.5,592.169,42.705,2856.483,228070
1980.75,608.893,43.818,2985.557,228689
1981,633.35,44.972,3124.206,229155
1981.25,648.673,45.863,3162.532,229674
1981.5,657.774,46.726,3260.609,230301
1981.75,677.727,47.534,3280.818,230903
1982,688.104,48.188,3274.302,231395
1982.25,703.093,48.814,3331.972,231906
1982.5,717.344,49.506,3366.322,232498
1982.75,737.351,50.019,3402.561,233074
1983,747.852,50.397,3473.413,233546
1983.25,761.061,50.771,3578.848,234028
1983.5,782.216,51.311,3689.179,234603
1983.75,775.099,51.7,3794.706,235153
1984,794.021,52.223,3908.054,235605
1984.25,819.132,52.67,4009.601,236082
1984.5,835.72,53.138,4084.250,236657
1984.75,862.769,53.536,4148.551,237232
1985,875.592,54.065,4230.168,237673
1985.25,900.527,54.413,4294.887,238176
1985.5,927.363,54.741,4386.773,238789
1985.75,938.584,55.047,4444.094,239387
1986,946.803,55.321,4507.894,239861
1986.25,967.519,55.531,4545.340,240368
1986.5,993.597,55.758,4607.669,240962
1986.75,996.385,56.062,4657.627,241539
1987,1008.681,56.418,4722.156,242009
1987.25,1025.219,56.809,4806.160,242520
1987.5,1036.195,57.239,4884.555,243120
1987.75,1056.024,57.695,5007.994,243721
1988,1056.893,58.147,5073.372,244208
1988.25,1070.421,58.713,5190.036,244716
1988.5,1078.19,59.415,5282.835,245354
1988.75,1109.916,59.929,5399.509,245966
1989,1116.559,60.553,5511.253,246460
1989.25,1145.809,61.198,5612.463,247017
1989.5,1164.58,61.645,5695.365,247698
1989.75,1180.5,62.084,5747.237,248374
1990,1212.45,62.754,5872.701,248936
1990.25,1230.721,63.457,5960.028,249711
1990.5,1242.584,64.001,6015.116,250595
1990.75,1268.467,64.477,6004.733,251482
1991,1284.187,65.109,6035.178,252258
1991.25,1296.577,65.587,6126.862,253063
1991.5,1306.265,66.099,6205.937,253965
1991.75,1308.774,66.492,6264.540,254835
1992,1326.421,66.739,6363.102,255585
1992.25,1334.807,67.14,6470.763,256439
1992.5,1353.997,67.468,6566.641,257386
1992.75,1362.775,67.932,6680.803,258277
1993,1351.818,68.313,6729.459,259039
1993.25,1359.066,68.719,6808.939,259826
1993.5,1367.411,69.128,6882.098,260714
1993.75,1381.394,69.505,7013.738,261547
1994,1373.35,69.837,7115.652,262250
1994.25,1389.392,70.174,7246.931,263020
1994.5,1423.432,70.577,7331.075,263870
1994.75,1422.923,70.96,7455.288,264678
1995,1437.596,71.344,7522.289,265388
1995.25,1452.892,71.687,7580.997,266142
1995.5,1455.659,72.04,7683.125,267000
1995.75,1451.575,72.387,7772.586,267820
1996,1471.295,72.736,7868.468,268487
1996.25,1487.662,73.037,8032.840,269251
1996.5,1496.733,73.276,8131.408,270128
1996.75,1515.702,73.668,8259.771,270991
1997,1515.985,74.107,8362.655,271709
1997.25,1542.541,74.257,8518.825,272487
1997.5,1555.224,74.579,8662.823,273391
1997.75,1574.782,74.824,8765.907,274246
1998,1568.029,74.933,8866.480,274950
1998.25,1603.691,75.11,8969.699,275703
1998.5,1627.262,75.433,9121.097,276564
1998.75,1647.452,75.641,9293.991,277400
1999,1669.4,75.926,9417.264,278103
1999.25,1695.179,76.201,9524.152,278864
1999.5,1734.512,76.462,9681.856,279751
1999.75,1782.347,76.873,9899.378,280592
2000,1790.716,77.396,10002.857,281304
2000.25,1823.116,77.865,10247.679,282002
2000.5,1832.333,78.309,10319.825,282769
2000.75,1861.214,78.723,10439.025,283518
2001,1905.413,79.204,10472.879,284169
2001.25,1946.995,79.683,10597.822,284838
2001.5,1952.705,80.004,10596.294,285584
2001.75,1991.988,80.268,10660.294,286311
2002,2038.946,80.533,10788.952,286935
2002.25,2073.495,80.821,10893.207,287574
2002.5,2100.432,81.194,10992.051,288303
2002.75,2141.997,81.654,11071.463,289007
2003,2172.36,82.025,11183.507,289609
2003.25,2199.425,82.266,11312.875,290253
2003.5,2221.212,82.712,11567.326,290974
2003.75,2251.834,83.201,11769.275,291669
2004,2287.338,83.82,11920.169,292237
2004.25,2321.398,84.504,12108.987,292875
2004.5,2357.154,85.056,12303.340,293603
2004.75,2389.668,85.712,12522.425,294334
2005,2426.905,86.391,12761.337,294957
2005.25,2452.909,86.996,12910.022,295588
2005.5,2495.099,87.783,13142.873,296340
2005.75,2529.054,88.489,13332.316,297086
2006,2580.699,89.107,13603.933,297736
2006.25,2610.894,89.852,13749.806,298408
2006.5,2630.65,90.481,13867.469,299180
2006.75,2674.694,90.815,14037.228,299946
2007,2719.157,91.708,14208.569,300609
2007.25,2770.314,92.301,14382.363,301284
2007.5,2809.03,92.776,14535.003,302062
2007.75,2864.876,93.145,14681.501,302829
2008,2909.263,93.489,14651.039,303494
2008.25,2971.12,93.99,14805.611,304160
2008.5,3027.545,94.69,14835.187,304902
2008.75,3020.03,94.986,14559.543,305616
2009,3019.656,94.976,14394.547,306237
2009.25,3067.595,94.838,14352.850,306866
2009.5,3088.993,94.938,14420.312,307573
2009.75,3117.803,95.259,14628.021,308285
2010,3131.884,95.499,14721.350,308901
2010.25,3164.663,95.943,14926.098,309460
2010.5,3157.912,96.222,15079.917,310062
2010.75,3164.129,96.763,15240.843,310675
2011,3155.982,97.283,15285.828,311176
2011.25,3168.577,97.922,15496.189,311684
2011.5,3137.494,98.553,15591.850,312293
2011.75,3131.435,98.703,15796.460,312887
2012,3144.668,99.32,16019.758,313385
2012.25,3131.04,99.713,16152.257,313888
2012.5,3139.625,100.225,16257.151,314488
2012.75,3132.709,100.737,16358.863,315085
2013,3125.038,101.139,16569.591,315539
2013.25,3131.988,101.431,16637.926,316020
2013.5,3134.089,101.918,16848.748,316626
2013.75,3138.519,102.517,17083.137,317244
2014,3137.427,102.937,17104.555,317760
2014.25,3153.25,103.512,17432.909,318287
2014.5,3190.944,103.957,17721.657,318921
2014.75,3190.319,104.123,17849.912,319557
2015,3188.054,104.031,18003.399,320058
2015.25,3230.559,104.596,18223.577,320578
2015.5,3249.111,104.926,18347.425,321205
2015.75,3253.199,104.937,18378.803,321831
2016,3266.365,104.865,18470.156,322354
2016.25,3283.135,105.592,18656.207,322871
2016.5,3310.907,105.95,18821.359,323473
2016.75,3336.728,106.469,19032.580,324048
2017,3361.607,107.01,19237.435,324496
2017.25,3384.217,107.34,19379.232,324948
2017.5,3411.104,107.872,19617.288,325475
2017.75,3471.131,108.598,19937.963,325963
2018,3521.462,109.237,20242.215,326325
2018.25,3579.974,110.176,20552.653,326703
2018.5,3631.175,110.614,20742.723,327167
2018.75,3648.034,111.14,20909.853,327602
2019,3681.467,111.424,21115.309,327923
2019.25,3737.643,112.141,21329.877,328270
2019.5,3767.055,112.531,21540.325,328730
2019.75,3805.331,112.95,21747.394,329186
