quarter,rgdp,pgdp,ltfp_util,pop,stockp_sh,tothours
1947,1934.585389,12.566,0,142985.5781,15.39,122.2435005
1947.25,1932.522558,12.745,-0.003057346,143669.8281,14.59333333,121.1952527
1947.5,1930.230763,12.957,0.001441937,144334.75,15.43,122.1446007
1947.75,1960.680928,13.276,-0.003836874,144961,15.25,122.9164863
1948,1989.685328,13.379,0.025753745,145587.25,14.41,121.872893
1948.25,2021.930799,13.497,0.047065132,146213.5,16.12333333,122.1353902
1948.5,2033.170874,13.747,0.05025954,146844.0781,16.04,123.4913191
1948.75,2035.680615,13.789,0.056919079,147483.3281,15.55666667,123.0265683
1949,2007.727637,13.717,0.0517456,148122.5781,15.01333333,121.6151935
1949.25,2000.883718,13.579,0.067379505,148761.8281,14.54666667,120.7785091
1949.5,2023.095714,13.509,0.075648062,149444.9219,15.18,119.0692916
1949.75,2004.734428,13.518,0.077320619,150215.6719,16.18,117.9191661
1950,2084.507042,13.49,0.097672859,150986.4219,17.14666667,118.2736578
1950.25,2147.289112,13.538,0.094830613,151757.1719,18.34,120.4921354
1950.5,2230.335454,13.832,0.094397613,152488.25,18.29666667,123.8267855
1950.75,2273.243435,14.09,0.095082333,153140,19.81666667,125.4438156
1951,2304.741025,14.596,0.088256401,153791.75,21.61333333,128.0838746
1951.25,2344.813504,14.692,0.082715119,154443.5,21.8,129.497452
1951.5,2393.034487,14.701,0.110655319,155100.9219,22.76666667,128.9251294
1951.75,2398.278297,14.869,0.107434474,155769.6719,23.16,129.2386328
1952,2423.467671,14.863,0.094340767,156522,23.91666667,129.7321137
1952.25,2428.437038,14.882,0.115116749,157142,23.95,129.2311035
1952.5,2446.172249,15.048,0.107264052,157801,25.01333333,129.7640013
1952.75,2526.008879,15.091,0.106487471,158505,25.11,132.1717913
1953,2573.529412,15.096,0.128554519,159164,26.01,132.6451367
1953.25,2593.719008,15.125,0.140357965,159752,24.5,132.4946774
1953.5,2579.009745,15.188,0.15390484,160450,23.98333333,131.6241375
1953.75,2539.588672,15.219,0.159190178,161218,24.43333333,130.013777
1954,2527.839644,15.266,0.171871215,161909,26.01666667,128.9205352
1954.25,2530.593548,15.281,0.179813363,162568,28.44,127.3596868
1954.5,2559.477124,15.3,0.189507775,163295,30.77,126.9356899
1954.75,2609.007365,15.343,0.194558339,164101,33.53,128.1337041
1955,2684.050075,15.417,0.189599932,164805,36.29666667,130.0148403
1955.25,2727.214004,15.481,0.192342193,165470,38.38,131.0306009
1955.5,2763.951251,15.59,0.196285412,166199,43.15333333,132.8397342
1955.75,2780.918503,15.743,0.182118004,167016,44.14333333,134.3368794
1956,2770.091812,15.902,0.18714219,167745,45.35666667,134.0663865
1956.25,2793.023692,15.997,0.202751851,168439,46.95333333,134.4495621
1956.5,2790.640242,16.197,0.197292792,169194,48.03666667,134.274286
1956.75,2836.325627,16.264,0.204103412,170053,46.14666667,134.2180956
1957,2854.716409,16.485,0.213367553,170802,44.31,133.9094855
1957.25,2848.021204,16.601,0.228393674,171504,46.46,133.3993457
1957.5,2875.875696,16.701,0.239310707,172260,46.11,133.7425286
1957.75,2846.62797,16.711,0.261596983,173061,40.64,131.0973472
1958,2772.910253,16.892,0.26475557,173741,41.49666667,128.0271863
1958.25,2791.027155,16.94,0.267303043,174404,43.59666667,127.3355287
1958.5,2855.71789,17.043,0.266345284,175146,47.54666667,128.1904045
1958.75,2922.385096,17.123,0.267260591,175957,52.31333333,129.9986193
1959,2976.876929,17.169,0.258128551,176679,55.51666667,131.5344253
1959.25,3048.737932,17.194,0.259004233,177367,57.50666667,134.2763627
1959.5,3043.22633,17.258,0.266469466,178102,58.73,133.1336403
1959.75,3054.946323,17.326,0.275935796,178910,57.76333333,133.3476621
1960,3122.952233,17.397,0.291334737,179590,56.27666667,133.2217486
1960.25,3111.27673,17.443,0.290574415,180224,56.07,134.5786895
1960.5,3118.930652,17.506,0.293896377,180951,55.72,134.7691341
1960.75,3081.43508,17.56,0.302711224,181789,55.33333333,133.5506322
1961,3102.057052,17.598,0.301244814,182516,62.00333333,133.2529462
1961.25,3159.684825,17.641,0.308480196,183220,65.98333333,131.8880644
1961.5,3212.528976,17.687,0.312902697,183964,66.83,132.8483719
1961.75,3277.54297,17.745,0.305427275,184774,70.27333333,134.4869388
1962,3336.884005,17.837,0.314450645,185448,69.86,136.1760935
1962.25,3372.887048,17.866,0.311831143,186092,62.22333333,137.0351014
1962.5,3405.015919,17.903,0.322155045,186795,57.83,136.6977277
1962.75,3417.883822,17.938,0.334588793,187564,59.61666667,135.9457429
1963,3456.180274,18.017,0.332524052,188204,65.55,136.6000489
1963.25,3500.858869,18.047,0.334869216,188796,69.67,137.4114885
1963.5,3569.649676,18.069,0.347356688,189500,70.96666667,137.7609263
1963.75,3594.642073,18.216,0.346999041,190255,73.27333333,138.4380975
1964,3672.430776,18.274,0.362781324,190858,77.54666667,139.3825076
1964.25,3716.562944,18.318,0.355902138,191453,80.3,140.9201149
1964.5,3766.855154,18.392,0.363464539,192132,82.87666667,141.6072637
1964.75,3780.038969,18.476,0.36147824,192839,84.75,142.592467
1965,3873.12187,18.569,0.360262539,193385,86.56666667,144.3244327
1965.25,3926.656659,18.652,0.364226452,193895,87.43,145.8792448
