VARIABLE,svar,lp_corrbias,lp_lagaug,lp_gls,varlp_avg
cat1,NaN,0.490493861636063,0.45828583158607,0.868781923946862,0.466127498135521
cat2,NaN,1.89569901326537,1.8280183780138,3.00223517876997,1.92636437713801
cat3,NaN,-0.410434800004541,-0.424601485157023,-1.25797245807001,-0.495769214096209
cat4,0,0,0,0,0
cat5,NaN,-2.15466950627098,-2.11391691076254,-5.04096334737071,-2.33759170986829
cat6,0,0,0,0,0
cat7,0,0,0,0,0
cat8,NaN,0.286989333035928,0.262577208497432,0.983461812824727,0.268820461057398
cat9,NaN,0.848516064812426,0.820036565525633,1.17239772359395,0.871188686519555
cat10,0,0,0,0,0
h0,NaN,-17.6623850050641,-17.5872871495559,-17.0288810456108,-17.8084045023271
h1,NaN,-1.07984105916457,-0.982256098894313,-0.453891886237489,-0.894956454789652
h2,NaN,-0.722710965121437,-0.634579300085989,-0.545513669680308,-0.555592644194094
h3,NaN,-0.536523636147954,-0.480773082153612,-0.373625163504531,-0.384592071863953
h4,NaN,-0.369358252480823,-0.324866400501306,-0.203232775913735,-0.26854537503312
h5,NaN,-0.248755236917581,-0.212917810237535,-0.17928005009903,-0.172283870451636
h6,NaN,-0.141877167968491,-0.116422735117708,-0.105234996125398,-0.0915723501866456
h7,NaN,-0.0872317289148108,-0.0759724167817893,-0.0683525975185894,-0.0498010986954445
h8,NaN,-0.0527221282424737,-0.0538765954788624,-0.0194789853677728,-0.0277422828819713
h9,0,0,0,0,0
h10,NaN,0.0288037347295528,0.0175986597830344,0.0162333775730121,0.0085574507834825
h11,NaN,0.0880037781202005,0.0668393434033174,0.0233558606222348,0.0348297190703094
h12,NaN,0.112457773250281,0.0881873569538882,0.0288952171584819,0.0349248171360272
h13,NaN,0.124124257053165,0.0971595394956474,0.0413599103774259,0.021347868801626
h14,NaN,0.135354615355539,0.101529146779211,0.0354435807069647,0.0128959507527771
h15,NaN,0.149633095588859,0.107136088837355,0.0412990988587598,0.0107484902045849
h16,NaN,0.187157058560258,0.139512803654647,0.043187735200391,0.0210950229203636
h17,NaN,0.214555443058643,0.164865314947803,0.0517651479478847,0.0231673238307843
h18,NaN,0.230586108714659,0.174043816319707,0.0558258764596232,0.0166526947284179
h19,NaN,0.246817117159768,0.17878344638891,0.0655458498521512,0.0160736741807334
h20,NaN,0.264497346655625,0.188721891391883,0.0781564791150876,0.016412527839565
