VARIABLE,svar,lp_corrbias,lp_lagaug,lp_gls,varlp_avg
cat1,0.00524361900759342,0.141327084844514,0.0932522207129687,0.0192457588003179,0.0586069621579158
cat2,0.930415929275219,1.19381184223643,1.16354529352148,1.09180155266491,1.04646349526227
cat3,-0.325917844631114,-0.259920843033856,-0.247195688044398,-0.312305266310495,-0.310925365192417
cat4,0,0,0,0,0
cat5,-1.14343642488398,-1.0998309416916,-1.06428947635953,-1.15223280865055,-1.12602545444777
cat6,0,0,0,0,0
cat7,0,0,0,0,0
cat8,0.166710040102323,0.224436883115652,0.180200763894188,0.180956597527529,0.167093267057779
cat9,0.161246999099173,0.13679174098964,0.0527961466749884,0.0445959917195019,0.109055147437109
cat10,0,0,0,0,0
h0,-0.812612994564385,-1.18576748208347,-1.11262491934219,-0.89478381513589,-0.923348165098138
h1,-0.371209513320475,-0.735652065157222,-0.664622957306462,-0.461811030925007,-0.485602860296991
h2,-0.182382648066383,-0.502284082271323,-0.454700553189529,-0.24055962314568,-0.288848377838354
h3,-0.0325857885327825,-0.383767103030138,-0.302038714866573,-0.10530893638702,-0.185843027770744
h4,0.0412693406593826,-0.253219571359532,-0.18296197414758,-0.052378868221538,-0.101469584031857
h5,-0.0158767728921891,-0.129792759552434,-0.0835689243585891,0.0587115516593978,-0.0627748373353057
h6,-0.0422379651397153,-0.142373110244328,-0.114236481234532,-0.0689340070144762,-0.0800857731938855
h7,-0.0291639957278321,-0.0664972006504069,-0.0464507988803286,-0.0395040312481816,-0.034395998658335
h8,-0.0164630302526202,-0.0830851577665143,-0.0787465402552408,-0.0521575560736618,-0.0699100835963578
h9,0,0,0,0,0
h10,-0.00835693333517979,0.033569893577401,0.0197429070131759,0.0383127156065164,-0.0346216314770984
h11,-0.0214500983264288,0.10150088763361,0.102068078729308,0.0602730026970031,-0.0454892328434885
h12,-0.0419021191074976,0.157235745386277,0.119158706738625,0.0745255173427739,0.00733075041611461
h13,-0.0450545390892137,0.20396959058367,0.132447448196808,0.12895795237786,-0.00419574891016094
h14,-0.0465024134510043,0.195423669389108,0.139770492706415,0.0833810174426603,-0.00103861437408602
h15,-0.0495238423092724,0.208944157416811,0.186282422693296,0.0397640163311125,0.00703842140841525
h16,-0.044666219042802,0.236356283772559,0.23641898252291,0.0890416490205783,0.012771606374246
h17,-0.0593009146842806,0.284806169111053,0.256697288079301,0.0732967897129251,0.0409466199999362
h18,-0.0670376451018629,0.241778718483105,0.219400639249059,0.1039538764173,0.0228318636664076
h19,-0.0900254985786266,0.268433011921344,0.214346755073729,0.0972295307176021,0.0105291265115622
h20,-0.122972316573303,0.259162217994258,0.198959679268527,0.104007449816146,-0.0367306998072666
