VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg,svar_iv
cat1,-0.206938946980985,-0.150346646234748,-0.19807662193056,-0.00821197368731014,0.0332418523263289,-0.00237215568950221,-0.132466918560532,-0.241816267111105
cat2,-0.163542171781321,-0.0564263659443565,0.0572191271653277,0.2226723556012,0.235288965161739,0.11811089478498,-0.0411101499084521,-0.0844033546520921
cat3,0.181101270772829,0.214490118980146,0.106869240838367,0.338133608701033,0.38523409236379,0.409565018646079,0.281991504550311,-0.00594632861984353
cat4,0,0,0,0,0,0,0,0
cat5,0.175430324667486,0.142199430655262,-0.218053662345431,0.23564706486616,0.305878180577405,0.459020727492972,0.271686339083979,-0.0887664002809271
cat6,0,0,0,0,0,0,0,0
cat7,0.571101134183428,0.540178296135002,0.193842617163728,0.569382771575368,0.63843363797448,0.709091246955898,1.02573127935533,0.184645384084764
cat8,-0.204705480491404,-0.0864607104925724,0.000280124533403589,-0.00464776446029433,0.0126367340281802,-0.0826199834339663,0.0112659381554092,-0.245784444914092
cat9,0.746671604360037,0.780727611452931,0.326439071256333,0.830541392848802,0.893072099027834,0.843540787304599,0.497201504433265,0.376630912385875
cat10,0,0,0,0,0,0,0,0
h0,-0.382220234530859,-0.607359981739729,-0.421391518009949,-1.11244025614136,-1.27132935277645,-0.867365084076708,-0.78759301029309,0.0297156563439528
h1,-0.102027280002822,-0.31589684387026,-0.0741654477941887,-0.82590900564361,-0.969038788578337,-0.87371175329631,-0.284262637425504,0.139009537465184
h2,0.139155266686728,-0.0678956483115352,0.106630605604124,-0.553522247833905,-0.687446544244548,-0.742716827338658,-0.120960036819153,0.10424684731698
h3,0.30135530668178,0.101834296133998,0.218805007848685,-0.380345134264173,-0.501689488492113,-0.615670862125588,0.00108922984690434,0.162037494283403
h4,0.419554079809035,0.221621407180036,0.276530666430791,-0.263974301351356,-0.377313308721373,-0.515097191363911,0.0908408120064741,0.149516558642166
h5,0.448739728018919,0.269783994106574,0.291728188987483,-0.193181105363264,-0.294342094418109,-0.436033903128716,0.13793524343285,0.138222904002705
h6,0.390026668132897,0.234836572543625,0.284526477543008,-0.144326435037005,-0.231691251762083,-0.375778480305355,0.1654809839343,0.124956570511427
h7,0.360197327162854,0.224426842240209,0.268992352781229,-0.0966239622697609,-0.1749423511996,-0.329043464989281,0.140525315055037,0.112159807269017
h8,0.323859125482296,0.206117166576954,0.247626643486791,-0.112416400175581,-0.178733679675947,-0.294087341920011,0.133471951361475,0.104818772180127
h9,0.273150010952309,0.170860330210827,0.223028722022098,-0.114643844697351,-0.170297627047145,-0.268478086263827,0.0885326880521103,0.0940224788435756
h10,0.232347431908903,0.142214354116045,0.197522931504016,-0.0491255808195029,-0.103340917836938,-0.248513926504697,0.134161367584076,0.0804757806769115
h11,0.198104699719186,0.119527390197266,0.172151693608043,-0.0024887809799939,-0.052077717542378,-0.235050921895801,0.175898781331203,0.0668894048913464
h12,0.163892251753849,0.0963571406337544,0.147496922881231,-0.0157672709228986,-0.0558856607694334,-0.225689370092255,0.160211559123267,0.0545382850972876
h13,0.133389011703665,0.0753593688713373,0.123912535824955,-0.0233308443573663,-0.0527567223775967,-0.223650114805382,0.118854260346339,0.0442512122049119
h14,0.107532410157784,0.0586840342315651,0.101680746673471,-0.0302266992553489,-0.0511686018136963,-0.22865426659645,0.0314010851877326,0.0356533625361518
h15,0.0843503091658655,0.0445694404090547,0.0808774064352174,-0.0189793754752186,-0.0340214645956677,-0.237050425398337,0.0467466791355328,0.0281703564307638
h16,0.0637928006887555,0.032462609804092,0.0615610656522741,-0.0377638231617288,-0.0498982344107242,-0.239581154726505,0.0348260343638946,0.0215084516006983
h17,0.0455838935202573,0.0224357661200285,0.0437976620977192,-0.0324668289561741,-0.0453825517353939,-0.225371384724944,0.00877190792385037,0.0154739021423221
h18,0.0290171113070583,0.0138453611114285,0.027608492684348,-0.0172283129145786,-0.0216568659966083,-0.185517376285532,-0.000451335463162632,0.0100598590974504
h19,0.0138862757472526,0.00635026977413446,0.0130075138239098,-0.026953281686397,-0.0255153967869493,-0.11171231190046,0.0175163137893397,0.00495452357471145
h20,0,0,0,0,0,0,0,0
