VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg
cat1,-0.158555911157248,-0.110169024234802,-0.193082025224281,0.0256361321292293,0.0701303305415865,0.0244438086329412,-0.249192964928379
cat2,0.182418241169985,0.246961219419321,0.202353831398487,0.520371261946188,0.540509595910191,0.434667432923732,-0.0537333748394741
cat3,-0.0468584673874681,-0.00366002016725811,-0.0356935333516224,0.0665384351367828,0.10377115761174,0.124945886003151,0.0872149669581668
cat4,0,0,0,0,0,0,0
cat5,-0.0941919561922749,-0.0625255725357448,-0.173250802280119,-0.103254357829403,-0.0554320505206002,0.0855844292982317,0.415748984188042
cat6,0,0,0,0,0,0,0
cat7,-0.290130875928912,-0.264263862496789,-0.306765408458092,-0.341624975554991,-0.279668679567052,-0.2216982029154,0.101118224969684
cat8,-0.270127718950487,-0.218747221710704,-0.314654044674702,-0.114650518675744,-0.0814978598783018,-0.155732976942515,-0.448998651808444
cat9,0.258436732432722,0.299443550554912,0.15081350943754,0.394722685273882,0.440968282130544,0.364836933515275,-0.0345512611149672
cat10,0,0,0,0,0,0,0
h0,-0.680297365142697,-0.867153970393185,-0.705531413112415,-1.27879083793707,-1.4329398009535,-0.930511343508246,-0.584564782400659
h1,-0.252078356971822,-0.431534324984719,-0.311642736713037,-0.851397870065977,-0.989807063908762,-0.948578182341766,-0.125143029687639
h2,-0.0417889676785509,-0.217166414223771,-0.124699860583089,-0.644386236411131,-0.769460769506524,-0.834864506438236,0.0754378515636901
h3,0.0852255836615017,-0.0724477608985671,-0.0320532873578121,-0.497168503550309,-0.615991863864192,-0.734201289653711,0.208407141037678
h4,0.158418402727662,0.00973963732725162,0.01210237933019,-0.39862206839464,-0.505173893761414,-0.632126144461776,0.297325489855321
h5,0.141244296628331,0.00399369558112141,0.0206695882619523,-0.313307032254802,-0.414554487309752,-0.537522013504079,0.412429889992577
h6,0.123335602597192,-0.000850777769545926,0.0221996334697164,-0.26371306370398,-0.345216765251683,-0.459036000731547,0.435727418879805
h7,0.127433290189508,0.0198967992048546,0.0311975532565097,-0.234988709873714,-0.311961305212016,-0.403193849720873,0.467746902948481
h8,0.125976960206927,0.0234936374425258,0.0361341120276312,-0.191717731852291,-0.259733706629674,-0.352714585914089,0.481097441413609
h9,0.116558668099916,0.0243450476163985,0.0390722108235434,-0.144174060275615,-0.207357345024847,-0.328526973393547,0.457753672504913
h10,0.113240417346441,0.0266986984780306,0.0412038853549853,-0.105723711296798,-0.167860613907178,-0.297340512079057,0.462232255347545
h11,0.0943796585603204,0.023437739414333,0.0435942002862549,-0.0693831218574594,-0.125931906862193,-0.272693322755604,0.413632199062423
h12,0.0843130885439672,0.0252849901785684,0.0393942156050092,-0.0498403351918094,-0.0919849945647074,-0.251006481119516,0.336166272549013
h13,0.0741766583218272,0.0267420218421435,0.0366861585904086,-0.0430586530624397,-0.0704537616504349,-0.227030629698979,0.282605324368512
h14,0.065677011928134,0.0240003865548338,0.0300260160857648,-0.0464240091218718,-0.0654858914119011,-0.217418078918767,0.239869797877846
h15,0.0501504862805807,0.0186062873294417,0.0254377483471394,-0.0456400285302162,-0.0617561003162972,-0.207819822247526,0.170800396446764
h16,0.0403589169950276,0.0129056672238843,0.0210407420767031,-0.0171740649901183,-0.0291973086648295,-0.19015495027333,0.162848422212772
h17,0.0307439250664482,0.0124065261019594,0.0141554683285208,-0.00752942572996126,0.000387249037078853,-0.172583443655712,0.106539378804218
h18,0.020418763594128,0.00501510896911806,0.00509007957358693,0.00995544372929422,0.00225372150906947,-0.140174255241298,0.0975386033251621
h19,0.0159011631545349,0.00283713063281365,0.00383871300838249,0.00472824732825868,0.00974575890318653,-0.0875652306548825,0.023151820077509
h20,0,0,0,0,0,0,0
