VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg
cat1,-0.395475947121505,-0.471036598062906,-0.416127483632736,-0.146563776360066,-0.34705367919585,-0.193264631716797,-0.206377963515595
cat2,-0.774872363949356,-0.898565042058806,-0.937192319714946,-0.28453643850721,-0.820324947968587,-0.351610440923076,-0.209963639585396
cat3,-0.302304120685047,-0.0537581529414438,-0.136733994607827,-0.369159647076964,-0.305381954892255,-0.148515146765723,-0.0635354634622676
cat4,0,0,0,0,0,0,0
cat5,0.310260508660372,0.7201646526327,0.519447318126719,-0.182889348054631,0.613024280637628,0.139956446973931,0.380152570585779
cat6,0,0,0,0,0,0,0
cat7,-0.273983770981793,-0.721432343598618,-0.531981744517093,-0.18422067557663,-0.0306213801922435,0.228092485066581,-0.166886627549314
cat8,-0.710188536531633,-0.679658555526864,-0.444227855239344,-0.225496670920056,-0.514561404420492,-0.168527428998571,-0.481640977653708
cat9,-0.367757131769045,-0.544494670278704,-0.525605997789672,0.211969059383492,0.1828834769571,0.168990644138445,0.125772018234548
cat10,0,0,0,0,0,0,0
h0,-2.49104256714357,-2.70494293774178,-1.60771786850794,-3.23237565264264,-2.8545809685395,-1.40709165387807,-3.97374000991605
h1,-1.4747399522094,-2.43514360039515,-1.53247293314063,-2.37293295104511,-2.42073877584313,-0.968064445311704,-2.10012057268809
h2,-1.18844008263142,-1.97910249629897,-1.02896316737252,-1.8013053557546,-2.36845511411473,-1.05972449270738,-1.54990458287056
h3,-0.888966965649175,-1.91675088964716,-0.76008980122652,-1.60304212771974,-1.93593676315898,-1.4436210852414,-1.20019309340322
h4,-0.394564715363781,-1.020775197448,-0.222558069369271,-1.21647818864544,-1.37686011705034,-1.26417186892409,-0.780832162998393
h5,-0.0393478157716865,-0.567941328291809,0.0603910863056806,-0.993988461825338,-1.03286160798866,-1.06930672805355,-0.696287449612057
h6,0.199139630579792,-0.03303629743929,0.53351540747608,-0.837169785697048,-0.97269942705775,-0.792964125611453,-0.441265619044546
h7,0.407211311144061,0.0277966936645043,0.627306826027188,-0.510692222411671,-0.747004605016792,-0.98564810738785,-0.322111900202754
h8,0.345347497228953,-0.00591321917711398,0.631840566466813,-0.388708259425558,-0.660455334238194,-0.861844848545435,-0.131777243619212
h9,0.46746877673621,0.172994042432879,0.708575158780088,-0.513757497133142,-0.64305543114574,-0.961834199994665,-0.0315628576057071
h10,0.540532143957329,0.203807407914617,0.671036450381668,-0.388227029158022,-0.470236678875095,-0.828763188677511,0.0484852339543392
h11,0.44134656228729,-0.103657808663665,0.556478110889961,-0.159290419988737,-0.329660381928807,-0.878345572500035,0.179376916185868
h12,0.231257548987101,-0.101485839353857,0.335075677534381,-0.0995902991869306,-0.378099261149454,-1.03831088062304,0.205250668216834
h13,-0.0268316296037244,-0.349433555516306,0.0169277054476964,-0.0851127926580686,-0.138827787668038,-0.886795058403127,0.184295191292734
h14,-0.0728848175264837,-0.736489795793903,-0.359150572619674,-0.0492915054413912,-0.0403289457133273,-0.795519370151471,0.163512320544164
h15,-0.0925957641811117,-0.526174648383599,-0.181261359076925,0.0169588288611909,0.0518367044505768,-0.738159289584617,0.119264631782072
h16,-0.318287808138997,-0.452529915131004,-0.447986905231169,0.00285044341709315,0.059188770481447,-0.54329763307358,0.100823674986732
h17,-0.0435356193140131,-0.522936123924742,-0.29818507865676,0.083913591704567,0.148509752234568,-0.354691258918889,0.0782358743310809
h18,0.176819630220148,-0.29284103428069,-0.141123017058889,-0.219768863890531,0.142643565959383,-0.294621257572874,0.0634667923015298
h19,0.207533618205422,-0.110879854488038,-0.0225817815036186,-0.218684266942566,0.0456937895356147,-0.333328481705754,0.0295806763526754
h20,0,0,0,0,0,0,0
