VARIABLE,svar,bvar,lp_corrbias,lp_penalize,lp_lagaug,lp_gls,varlp_avg,svar_iv,lp_IV_controls
cat1,0.175686743315925,0.307965170308514,0.274921416485304,-0.0770565082575334,-0.0704994554411609,0.323041365439017,0.316418481770018,0.199594147136914,0.222132154715421
cat2,0.306449392896818,0.346546109113885,0.389056960410673,-0.0206885425490855,0.171389203471654,0.354144590039313,0.368367039821295,0.280636252300557,0.554949862418315
cat3,0.450703073585553,0.489829288501294,0.409783107706982,-0.0231279441253194,-0.0736293512234777,0.333835526157691,0.390690423466577,0.277023617273096,0.235775247008389
cat4,0.0817810387798601,0.11605016281192,-0.268368019704396,-0.212932061053046,-0.103306955502042,-0.0132521465007448,0.00814382520003644,0.455811447097395,0.530279839928388
cat5,0.338223564008022,0.46494021786638,0.207776459968406,-0.0641356374679592,-0.233084635165853,0.361134950219624,0.347415520065369,0.136621564785427,0.726370624039714
cat6,0.307343357611183,0.451271324812715,0.0225796677777688,-0.24024445333367,-0.329724202563501,0.196094667709249,0.156099574979472,0.296080440270557,0.396731172299925
cat7,0.566635164244542,0.391292305584312,0.115048229964908,-0.110563251876434,-0.0982612418778241,0.362597513015895,0.392444474061265,0.136527494368387,0.184264811647798
cat8,0.0260488291650181,0.259054508850925,0.108247664654202,-0.122385511941281,0.373430895038095,0.120485141723034,0.147265600775903,0.142946104335304,0.709903267820753
cat9,-0.134911353066379,-0.0449806663246188,0.202649820988636,0.121284119187318,-0.0340980139289386,0.271397919120992,0.211069030855034,0.162871798113536,-0.00469803113005222
cat10,0.184202984888199,0.311938838772528,0.00707603173028911,-0.0526414875987231,0.425315899040553,0.188293990601675,0.164223576923498,0.49393148503052,0.241677581892954
h0,-3.89779410214832,-4.5644091992575,-3.58862714480694,-1.03678516607198,-1.94090615186541,-3.88234171622544,-3.8856804504842,-3.81570499675074,-3.56872532579904
h1,-4.0831486322572,-4.61247526150678,-3.58119159928965,-0.813214805267829,-2.28736674081353,-4.12013919618608,-4.08263513475138,-2.88778301406198,-2.63160319689477
h2,-4.08321592693481,-4.03407027129253,-3.84038728446388,-1.09248353990828,-2.01584611696469,-3.9852719410038,-4.02667732324451,-2.78655831031064,-2.52301101909636
h3,-3.89991495637553,-3.96222681521145,-3.56888005425931,-1.175458562036,-1.88840308665074,-3.94912827530849,-3.80321287048526,-2.39417764950784,-2.90742133936177
h4,-3.65944781988813,-3.65781566332924,-3.47278083435988,-1.02753503417168,-1.44050232847265,-3.51372212824946,-3.54184953580223,-2.18087673203557,-2.98379474066073
h5,-3.59254512622765,-3.30306430623516,-3.37171219456589,-1.11191292831775,-1.49093130879608,-3.38671428637954,-3.61418598070453,-2.20191676259804,-3.1129234304937
h6,-3.3856198451735,-3.01414993448003,-3.40659274938171,-1.17838833330342,-1.48017086214129,-3.41170958256684,-3.46417044339761,-2.0321952044232,-2.95182242659323
h7,-3.0684099117648,-2.86445308038851,-3.27795201743539,-1.19221537526629,-1.37938457114023,-3.34980228406744,-3.45851695578672,-1.97843938691541,-2.78376841334718
h8,-2.88400136264764,-2.80707712228838,-3.15825842984047,-1.30388912224426,-1.30291681462788,-2.98621229788115,-3.2436421462234,-2.00089036488169,-2.85044694172546
h9,-2.84042112287998,-2.78954053498073,-3.03938775429638,-1.23917558765134,-1.28129403543804,-2.9265907706415,-3.1928732494117,-2.02969733285836,-2.75079268861589
h10,-2.68059689906218,-2.79226528686095,-3.0187513079581,-1.16211282203112,-1.14065632238685,-2.75897744297684,-3.01098726350496,-1.99273077765643,-2.71451407414795
h11,-2.64405453592099,-2.76808501614363,-2.9091325714394,-1.14945758993193,-1.14423444251868,-2.73036021099915,-2.88191726705951,-2.06603170838446,-2.74878375554372
h12,-2.56897987115527,-2.7696920295144,-2.85751860565126,-1.12178914719672,-1.01787985374742,-2.58370704304362,-2.81722200486105,-2.18047229887555,-2.72779860725342
h13,-2.55550018630739,-2.77851515890496,-2.76919946841598,-1.06501022866286,-0.8455497267472,-2.55069110029884,-2.72454811560984,-2.1997115506874,-2.56328372753826
h14,-2.53467067152208,-2.84195307489704,-2.61228679437446,-1.03795089771997,-0.744392347595376,-2.57539033812606,-2.72866557818422,-2.2307764029909,-2.66408879308916
h15,-2.5422296244,-2.84236795133469,-2.54163304118088,-1.0701121136991,-0.646458077108116,-2.47303520594645,-2.59932152221271,-2.18453098806967,-2.6067565927712
h16,-2.52028960494085,-2.90332874514756,-2.43834499848099,-1.05011620709993,-0.554828872608285,-2.4986992037039,-2.56632063841472,-2.18148072299988,-2.49597026502694
h17,-2.57652869417767,-2.82631697616836,-2.56770003072615,-0.907864272060734,-0.547242023630823,-2.59951211394079,-2.56582356142959,-2.21443978234355,-2.50770781383711
h18,-2.5552595029693,-2.8013274564181,-2.54557914048115,-0.669329985196127,-0.556694818209649,-2.40658542002026,-2.57538302050472,-2.18127667107852,-2.42982021974002
h19,-2.38211373847403,-2.83443494123366,-2.48806213130367,-0.363412305566951,-0.467529258317948,-2.28598116180596,-2.50185031884632,-2.12434288362293,-2.29125537323943
h20,-2.32702666152485,-2.85845690288462,-2.4672031262264,-0.0609229280395845,-0.462530585076663,-2.19131967044492,-2.45548623854988,-2.12352233082233,-2.1737659487565
