0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,11,1,1,3,6,4,4,4,6,6,6,6,6,6,6,6,6,6,5,5,10
0.999,11,1,1,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,5,10
0.998,11,1,1,3,6,3,3,6,6,6,6,6,6,6,6,6,6,6,10,10,10
0.997,11,1,1,3,6,3,3,3,6,6,6,6,6,6,6,6,6,10,10,10,10
0.996,11,1,1,3,6,3,3,3,6,6,6,6,6,10,6,6,6,10,10,10,10
0.995,11,11,10,3,11,11,3,3,6,6,6,6,6,10,6,6,6,10,10,10,10
0.994,11,11,10,3,11,11,3,3,3,6,6,6,6,10,6,9,6,10,10,10,10
0.993,11,11,10,3,11,11,3,3,3,6,6,6,10,10,3,3,6,10,10,10,10
0.992,11,11,10,3,11,11,3,3,3,6,6,6,10,10,3,3,3,10,10,10,10
0.991,11,11,10,3,11,11,3,3,3,3,6,6,10,10,3,3,3,10,10,10,10
0.99,11,11,10,3,11,11,3,3,3,3,3,6,10,3,3,3,3,10,10,10,3
0.989,11,11,10,3,11,11,11,3,3,3,3,3,3,3,3,3,3,10,10,10,3
0.988,11,11,10,3,11,11,11,3,3,3,3,3,3,3,3,3,3,10,10,10,3
0.987,11,11,10,3,11,11,11,3,3,3,3,3,3,3,3,3,3,10,10,10,3
0.986,11,11,10,11,11,11,11,3,3,3,3,3,3,3,3,3,3,10,10,10,3
0.985,11,11,10,11,11,11,11,3,3,3,3,3,3,3,3,3,3,10,10,10,3
0.984,11,11,10,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,10,10,3
0.983,11,11,10,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,10,10,3
0.982,11,11,10,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,10,10,3
0.981,11,11,11,11,11,11,11,3,3,3,3,3,11,11,3,3,3,3,10,10,3
0.98,11,11,11,11,11,11,11,3,3,3,3,11,11,11,11,3,3,3,10,10,3
0.979,11,11,11,11,11,11,11,3,3,3,3,11,11,11,11,11,3,3,10,10,3
0.978,11,11,11,11,11,11,11,3,3,3,3,11,11,11,11,11,11,3,10,10,3
0.977,11,11,11,11,11,11,11,11,3,3,11,11,11,11,11,11,11,11,10,10,11
0.976,11,11,11,11,11,11,11,11,3,3,11,11,11,11,11,11,11,11,10,10,11
0.975,11,11,11,11,11,11,11,11,3,3,11,11,11,11,11,11,11,11,10,10,11
0.974,11,11,11,11,11,11,11,11,3,3,11,11,11,11,11,11,11,11,11,10,11
0.973,11,11,11,11,11,11,11,11,3,3,11,11,11,11,11,11,11,11,11,10,11
0.972,11,11,11,11,11,11,11,11,3,11,11,11,11,11,11,11,11,11,11,10,11
0.971,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11
0.97,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11
0.969,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11
0.968,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.967,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.966,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.965,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.964,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.963,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.962,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.961,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.96,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.959,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.958,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.957,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.956,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.955,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.954,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.953,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.952,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.951,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.95,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.949,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.948,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.947,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.946,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.945,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.944,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.943,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.942,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.941,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.94,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.939,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.938,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.937,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.936,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.935,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.934,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.933,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.932,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.931,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.93,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.929,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.928,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.927,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.926,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.925,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.924,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.923,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.922,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.921,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.92,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.919,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.918,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.917,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.916,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.915,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.914,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.913,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.912,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.911,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.91,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.909,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.908,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.907,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.906,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.905,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.904,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.903,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.902,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.901,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.899,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.898,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.897,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.896,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
