VARIABLE,svar,lp_corrbias,lp_lagaug,lp_gls,varlp_avg,svar_iv,lp_IV_controls
cat1,0.261111839190012,0.322596427953415,0.312128982509101,0.223124178205902,0.255974538235759,0.143325790983294,0.406479486020733
cat2,1.34129083748219,1.24529843635632,1.26260221020878,1.249576160012,1.19626087836778,1.42951782763633,1.27857702725699
cat3,-0.390345920421621,-0.149562748988153,-0.163267424307948,-0.289191510725189,-0.275400289574953,-0.477093225777815,-0.217229924107827
cat4,0,0,0,0,0,0,0
cat5,-1.24844514701655,-0.77703964041528,-0.802826794213798,-0.980476097667121,-0.952919974295723,-1.716358278221,-0.679906573052627
cat6,0,0,0,0,0,0,0
cat7,0,0,0,0,0,0,0
cat8,0.456158222651086,0.443687701813495,0.42182809822971,0.400520272269429,0.376980872082202,0.312891580648105,0.467718155969072
cat9,0.579792785752701,0.311528880785466,0.219830858397993,0.275124513181223,0.408284087328721,0.420329188606434,0.414722344885572
cat10,0,0,0,0,0,0,0
h0,-0.675827758328298,-1.15124599520094,-1.05451717679037,-0.750789371924829,-0.789706763241047,-0.190277141061281,-1.15714502356488
h1,-0.306123101967246,-0.756719875835102,-0.721180337891754,-0.375403911289448,-0.419692249044989,-0.0104388033035918,-0.756416173967573
h2,-0.090662456642039,-0.534293298385738,-0.522922822254998,-0.165124104437268,-0.212915835548128,-0.0420758963714804,-0.529956306956609
h3,0.0109905748948131,-0.40377171512979,-0.37460210560229,-0.0636391250766187,-0.0956149650861499,0.0212551343237326,-0.369465860601686
h4,0.107223483305057,-0.321779510856483,-0.31024362433362,0.0361629215846725,-0.0349892584187354,0.0335434528516888,-0.286285012697787
h5,0.15555873916131,-0.185379965036335,-0.170473332038571,0.117836472431355,0.0298512058271096,-0.0227892939266979,-0.199905256384004
h6,0.120910262087954,-0.0979658721678691,-0.125603939165264,0.0570648117059907,0.047938677619392,-0.0357881283355813,-0.14687238642741
h7,0.0918759110839932,-0.0806470348994247,-0.0793383054712451,0.0809935713277287,0.0469590655770864,-0.0324027331778779,-0.101256113523534
h8,0.0498085017116936,-0.032751432245019,-0.0369919986629583,0.0232251084341068,0.0178349019182563,-0.00790603063988701,-0.0264994593701463
h9,0,0,0,0,0,0,0
h10,-0.0518651262911244,0.0859172946440887,0.048097888211791,0.01566280945409,0.00854021507667512,-0.000408884954236212,0.060385354544912
h11,-0.112470814116913,0.147039826647962,0.0716989371726463,0.0163377365422946,0.0100775803981989,-0.0108081347170328,0.107262187281665
h12,-0.138452275252833,0.0970374068080342,0.025014455881467,0.0511038671056457,-0.044406549689141,-0.0192707077975057,0.0920661806023908
h13,-0.153994963832997,0.0753263895676608,-0.0223860079465331,0.0339747510309257,-0.0864337662416596,-0.0325377830599591,0.0736005710651383
h14,-0.201759336430283,0.0896267477154047,0.022559331420565,0.0952606480201962,-0.0335802534026114,-0.0647310263076777,0.0876014772604475
h15,-0.236924931445113,0.173725103546804,0.102051930249394,0.0610207586453681,-0.0511664259797309,-0.0627043481813829,0.193105429146814
h16,-0.241725429076439,0.185670128506162,0.0838078831995451,0.0945706837710473,-0.0322057084932118,-0.0940080289133712,0.187803826642788
h17,-0.258759937328772,0.177479651469985,0.0921390607008829,0.0920927865529223,-0.030169916463103,-0.121304310204749,0.184824236386331
h18,-0.282162591110019,0.158610934798493,0.0903622441359221,0.0896669770310134,-0.0658910484845727,-0.142791657868708,0.205258593264675
h19,-0.294103077862467,0.189666118122895,0.0997244192922464,0.121903685624061,-0.0425777637519642,-0.170723556732848,0.193679219809784
h20,-0.32475143875631,0.195468056278753,0.107322154253433,0.143277537379743,-0.0661804851579282,-0.191328773476571,0.232163506760594
