VARIABLE,svar,bvar,lp_corrbias,lp_penalize,lp_lagaug,lp_gls,varlp_avg
cat1,-0.0451524211755399,0.0637946690274796,0.0747400732445362,0.040777824807474,-0.0401687013902598,0.0489830135473057,-0.0167570060542157
cat2,0.0750436589459458,0.0912308206465683,0.111032462705933,0.0282726762396865,0.020787654298081,0.0825221764277916,0.0294077260698173
cat3,0.0625019068806878,0.0721779903430405,0.106774439473294,0.0621708751226597,-0.00146217797731675,0.0460541857421344,0.016546588420939
cat4,0.137876399619983,0.0690513059688803,0.276346383522231,0.200223664364149,0.106689625259454,0.192341692307031,0.189780013485702
cat5,-0.0112330677306691,0.0516371725485231,0.0662155565372988,0.11455000632946,0.0254838733427448,-0.000945262370377355,-0.144747316538716
cat6,0.080619394170566,0.11555322454169,-0.0494972789373785,-0.192668265929485,-0.148076142573815,-0.0540865429832716,-0.0483607922985639
cat7,0.0791606066949373,0.0824165221760834,-0.0813780653263993,0.032047055146221,-0.0481893182169136,-0.0444348683051098,-0.0755414336726757
cat8,0.00795533624854809,0.0664296733622418,0.212977614752567,0.0536162869682799,0.0194652532895681,0.0964420738011759,0.0615503354103923
cat9,-0.0680939105691865,-0.0432673276022074,0.141808693720713,0.0816524818053579,0.0197152043072832,0.0348532697783082,0.0324435349779036
cat10,0.220912837251075,0.319977142655901,0.172790389493677,0.0317385999993395,-0.0115566028654881,0.112487975820812,0.0645873190299903
h0,-4.17666763238259,-3.41362923006905,-4.33453444978855,-1.92846361128937,-3.78767141791966,-4.12240337426841,-3.98213222769803
h1,-3.66347161239097,-3.08778234944005,-3.88059737658015,-1.42338485827515,-3.30785115800225,-3.67290710210016,-3.49790433489992
h2,-3.23350970656874,-3.14905436362164,-3.57569398714635,-2.00354745968365,-2.7226997747673,-3.14826954586063,-3.01529471396619
h3,-3.01641447193346,-2.41201961403947,-3.39658790915392,-1.98569988348283,-2.41991839093164,-2.90660205366098,-2.76372193583937
h4,-2.7330438906276,-2.03046649806944,-3.1781737260714,-1.73700477538949,-2.17504304646677,-2.58710527260527,-2.46559045416097
h5,-2.20867771304336,-1.62355856668408,-3.05060217622089,-1.61630037547215,-1.9868010553881,-2.42373808271717,-2.16102087512051
h6,-1.90076281390271,-1.39119674605572,-2.83140071114755,-1.60034452935986,-1.82470728539355,-1.87297649110011,-1.95491973890397
h7,-1.66441487468732,-1.25459887221154,-2.72683674180005,-1.64801588449889,-1.70943547179477,-1.86633569180522,-1.87341406393186
h8,-1.52144805735489,-1.11977901583673,-2.6148487903327,-1.6072700906916,-1.6117081524437,-1.65167977286128,-1.71316746027485
h9,-1.49960020337616,-1.08698045529656,-2.55984563332739,-1.5775277767766,-1.50067281375949,-1.63323042246548,-1.56565802685712
h10,-1.41392879095958,-1.15382564066365,-2.37325002985462,-1.51265802997377,-1.48410726401572,-1.45230705343225,-1.52821695008968
h11,-1.3558924568418,-1.23432888672258,-2.27521731583742,-1.47013007578874,-1.38090904731453,-1.48506224519493,-1.44646545422002
h12,-1.3702224360237,-1.2906429996567,-2.19517492966723,-1.49429870165426,-1.29280496960608,-1.39283426607837,-1.3680576048413
h13,-1.38765435885924,-1.30165475524948,-2.06658393574801,-1.53669610785091,-1.15449274875901,-1.37893043394529,-1.34064765519387
h14,-1.35215461081926,-1.32923255330206,-1.98430798154175,-1.41581300077052,-1.1200526906487,-1.31981395750439,-1.32678882957576
h15,-1.33775017863712,-1.34199388713275,-1.94067603428803,-1.38383446300592,-1.04102313529153,-1.28971717142228,-1.26483132402257
h16,-1.35531400420513,-1.38524033897771,-1.86201268815476,-1.34100998035047,-0.989053963156067,-1.25796295405888,-1.24844917300088
h17,-1.33335038218087,-1.38173393046155,-1.85658017315968,-1.20586183373945,-0.981482522981519,-1.17076305793632,-1.18432532796593
h18,-1.30448736867759,-1.32517876019659,-1.76712631864456,-1.10977180949239,-0.931834013317936,-1.08756952034696,-1.15614176370742
h19,-1.28174544061582,-1.27864841156328,-1.73574998185352,-0.833566779937723,-0.892406686893328,-1.09305723060255,-1.09499757146418
h20,-1.17989021037644,-1.26933814005399,-1.66957623433905,-0.605761968022533,-0.822253627814145,-1.00552156445527,-1.01967096548606
