VARIABLE,svar,bvar,lp_corrbias,lp_penalize,lp_lagaug,lp_gls,varlp_avg
cat1,0.118336608408882,0.134980608623121,0.170892333525922,0.152014825800574,0.174920205566536,0.143711385050062,0.150892277988534
cat2,0.0252927920105801,0.0363584108328761,0.0338422161274947,0.0274237605344573,0.0343220576060663,0.0384444193023347,0.0298542686317127
cat3,0.109264645434053,0.118444491070773,0.144853037031971,0.1362551427545,0.146148214614015,0.13179812127096,0.134865697805899
cat4,-0.0704694594843058,-0.0702192977609392,-0.0533728497301483,-0.0462251994311372,-0.0497707367607322,-0.0411615200152045,-0.0516616389329739
cat5,0.0854805882395585,0.116798911090925,0.0894777450152115,0.133660907805974,0.084296380106199,0.107913631302545,0.0804098843715602
cat6,0.0599687383570932,0.0708725321056206,0.162962149726478,0.0975453792116842,0.180606259211188,0.113878044553789,0.127517339479803
cat7,-0.0280757011685018,-0.0338131329117737,-0.0672840770850746,-0.0439645078685581,-0.0777844085386285,-0.0718782990173616,-0.0572742171955335
cat8,-0.0634977227023971,-0.0514080079037993,-0.118471379635089,-0.111079790535722,-0.116609591167742,-0.0817143757614839,-0.098037347687955
cat9,0.0267915871784779,-0.000748849751195383,0.0435115936291831,0.033301703249958,0.0466112182792949,0.0431073070086007,0.0415941453710869
cat10,0.182315237725108,0.167620739536156,0.230743358237328,0.218754754787908,0.240442875699486,0.204783366622068,0.215050251227775
h0,-1.0955091995371,-1.24350261523139,-1.2897766580336,-0.867389368175189,-1.30436197118219,-1.21064438510627,-1.22481908028776
h1,-0.769342640458184,-0.94738731615304,-0.941950074021954,-0.946325636110677,-0.970873922410895,-0.87533710649269,-0.897785512123437
h2,-0.608818742910577,-0.816945123587195,-0.759231435950056,-0.858614657201217,-0.798911092549868,-0.715201016780017,-0.733439863829614
h3,-0.502617292343536,-0.771947808104268,-0.63008219201937,-0.746762757939794,-0.676740540666797,-0.608488151501191,-0.624861568090563
h4,-0.418528298376224,-0.754552144369048,-0.528765711494997,-0.647476697949252,-0.584637227165144,-0.526337607458,-0.539930843062871
h5,-0.507366995078237,-0.780416643438069,-0.451674111964127,-0.569346231807277,-0.510203193607601,-0.476151497657306,-0.582356170736057
h6,-0.536679766888771,-0.790979273949598,-0.38237590338362,-0.510930513265715,-0.451253596137403,-0.606423000946014,-0.580569470893974
h7,-0.552871425668074,-0.799507478324563,-0.335419335889746,-0.471155609605434,-0.411626751162282,-0.59500451778409,-0.568035454992661
h8,-0.567696406136962,-0.808110768337667,-0.292182244297289,-0.437128579632689,-0.376963676831696,-0.594457507314294,-0.561615846146253
h9,-0.587762954720808,-0.816563139302697,-0.254512785662661,-0.40628842537363,-0.345516743570638,-0.585889980824578,-0.561236395157767
h10,-0.605155069904706,-0.823593365156997,-0.217429419915284,-0.378475442085565,-0.311259905982219,-0.576778752276869,-0.556221361498213
h11,-0.617869238025967,-0.832305360032438,-0.194081565002021,-0.352550202289791,-0.293827436285753,-0.563984473065296,-0.554037391066176
h12,-0.630980984985281,-0.836413986202884,-0.176106891283487,-0.324919682287807,-0.282512777476171,-0.554937000539631,-0.554279096070412
h13,-0.642960109141496,-0.842100666466261,-0.151866826246142,-0.302975028196247,-0.267280494571739,-0.545159230003174,-0.553977040425871
h14,-0.655478702310376,-0.848253261066907,-0.138044265836794,-0.289167337974677,-0.255802918109504,-0.53108346360202,-0.555445714356469
h15,-0.668701285500805,-0.853224562618514,-0.121351557330721,-0.283216744582126,-0.245331159078023,-0.528606022254609,-0.553332433234219
h16,-0.681629519041497,-0.860073509967467,-0.110286302235056,-0.275937574081101,-0.239584323961286,-0.515727364527171,-0.560722004449129
h17,-0.696176159583925,-0.866360411204317,-0.0879812323016784,-0.258200066637762,-0.222552819990203,-0.511404527907977,-0.553203178576505
h18,-0.71151871106568,-0.872119897959398,-0.073486252781052,-0.222682427617651,-0.214414426128355,-0.499157787140342,-0.557217746930032
h19,-0.724792335113583,-0.87786685738765,-0.058371972803882,-0.15729404285785,-0.201470167508011,-0.48877337480784,-0.55362359843679
h20,-0.738358914447741,-0.88439731994972,-0.0489880933520601,-0.0452944965949784,-0.195459037897751,-0.480713059683702,-0.55827843542431
