VARIABLE,svar,bvar,lp_corrbias,lp_penalize,lp_lagaug,lp_gls,varlp_avg
cat1,-0.0435578081594416,0.0406988470091273,0.0462318407382641,0.04790326391977,-0.0287954857804047,0.066055248344831,-0.022203931210942
cat2,0.056455193731949,0.0711309382734213,0.0895013013781315,0.0213266643670181,0.0279884522803721,0.127361672692479,0.0313959354131059
cat3,0.0536198187383739,0.0412681880819649,0.091346114331159,0.0657526116517283,0.0254232729523612,0.065401812586689,0.0191381780682798
cat4,0.126466078238731,0.0698141973177591,0.257440100651299,0.187525503554781,0.103934584742376,0.199663101103142,0.157473483073079
cat5,-0.0207349189499945,0.010347265700635,0.0726487365285494,0.149893413601545,0.0430131077563832,-0.0616918706800758,-0.140629294781226
cat6,0.0580966803956847,0.0875580075446101,-0.0581494987471667,-0.187911883939331,-0.162900160860114,-0.0457278420066405,-0.0591684976529516
cat7,0.0603945278794392,0.0701476758200185,-0.0997538118348521,0.0310768042906073,-0.0790335916502743,-0.0639433521198213,-0.0597410068650946
cat8,-0.0337108290095627,0.0399456079549126,0.115395699108185,0.0487212856862526,0.0231469017203269,0.116471460318491,0.0498818433711639
cat9,-0.0755325336871347,-0.046636507524283,0.113423585951412,0.0412204058357091,0.0054476417337847,0.0272104685948345,0.0346953306808611
cat10,0.222079511375001,0.303097419760041,0.101904177643197,0.0232586125405748,-0.0263803512773043,0.0980192925846185,-0.000788467672643235
h0,-4.15813481951571,-3.26429763258096,-4.25031613097527,-1.93573950945319,-3.85810469585869,-4.24514557038522,-4.00769142029513
h1,-3.61601240436435,-2.97869636114143,-3.711366294207,-1.42643106647442,-3.3367349909934,-3.67484219389768,-3.43065983664195
h2,-3.15342397860707,-2.96365124155938,-3.38399253043532,-1.99596603938197,-2.77319128455739,-3.21959164317345,-2.92409964082942
h3,-2.90519133549985,-2.30442620618677,-3.25851622132572,-1.95955913891404,-2.43070389068528,-2.88954099281215,-2.64709027814658
h4,-2.57197277501714,-1.90480293359666,-3.01228335643959,-1.70150353565565,-2.15746624637832,-2.69684412710422,-2.44214167750432
h5,-2.1039036158398,-1.5240798336612,-2.83204808470306,-1.5660199410158,-1.99019822725835,-2.44909322907618,-2.09981434439409
h6,-1.81563889784979,-1.28872266636981,-2.65322194846591,-1.55928211299307,-1.87515449559802,-1.87691565703403,-1.86684183093778
h7,-1.55985822786473,-1.11695312462503,-2.6500369229677,-1.5813399001657,-1.71327838175608,-1.88349256606946,-1.82104478208765
h8,-1.40289039040688,-0.985532497896279,-2.44435068076829,-1.58776601002465,-1.61523510283805,-1.67124096920326,-1.64576869622237
h9,-1.42790460267701,-0.948810802925786,-2.30638805150436,-1.55914595077013,-1.46304772830389,-1.58890646951974,-1.50349868406828
h10,-1.31673676215746,-0.991883457133093,-2.19614805130236,-1.53028766404605,-1.48832385554919,-1.50946495106196,-1.4617213309962
h11,-1.27404877534491,-1.0726121910249,-2.02209437114231,-1.47125086376877,-1.37353678238502,-1.53965721799331,-1.38535683087384
h12,-1.27815453078988,-1.13569222683369,-1.9243259485782,-1.45621276132763,-1.24726857683218,-1.40439216283706,-1.32586959089032
h13,-1.28330906855021,-1.15813276779942,-1.87591937823582,-1.42530799985646,-1.14940003675884,-1.39952021205328,-1.26092540060876
h14,-1.25749099587103,-1.20751098492918,-1.75783988887073,-1.37216199405191,-1.16253759277629,-1.35213343364255,-1.24819049335682
h15,-1.2448823148493,-1.22550178909437,-1.67102804956321,-1.28981563125365,-0.996872674072939,-1.29186566278928,-1.18033544071987
h16,-1.31595732037367,-1.2630010797649,-1.61877578086918,-1.29336707670364,-0.983127499252753,-1.24377209588077,-1.13057330149589
h17,-1.21260603724704,-1.22911920597156,-1.57296218333967,-1.1796850632214,-0.95698740543874,-1.17925984580952,-1.12022495476215
h18,-1.16482492030502,-1.20891072428662,-1.48330364445113,-1.04972610498301,-0.873374159398481,-1.11613341628249,-1.10765053879207
h19,-1.09604830471139,-1.15904865190563,-1.52631659092373,-0.809416821915065,-0.876959248299105,-1.05017178259633,-1.04400969322664
h20,-1.04634329644576,-1.15040068110503,-1.49951241058124,-0.570003582948752,-0.860003129408061,-1.02997702024781,-0.943406725460202
