VARIABLE,svar,bvar,lp_corrbias,lp_penalize,lp_lagaug,lp_gls,varlp_avg
cat1,0.126921972777493,0.149509197302563,0.175377965602184,0.160227884874079,0.177971386452904,0.151009493734337,0.155499908920618
cat2,0.0279976110110427,0.0394644668019687,0.0382818729103478,0.0338432010385744,0.0378021292294262,0.0440067550724374,0.033020926162127
cat3,0.116137189557851,0.129807618044229,0.150993898274005,0.144097893982059,0.15108769654876,0.13878401352124,0.139995166975689
cat4,-0.0674726747875949,-0.0654389805013609,-0.0504976117169954,-0.0434137293888279,-0.0472858062613692,-0.0374676080090063,-0.0510119597947032
cat5,0.0892692770089532,0.120783610678547,0.0932687261428809,0.138331292283643,0.0866095961114274,0.108606448038482,0.0868272557623362
cat6,0.0738313345166678,0.0867188595678791,0.1657108922823,0.106775292540991,0.181703472997891,0.121275923262317,0.132184637459764
cat7,-0.0296061561392473,-0.0382773360395405,-0.0642721538523081,-0.042232683967408,-0.074650658073818,-0.0646338757922619,-0.0527086972580559
cat8,-0.0671262341903359,-0.0574116512322863,-0.113173501444838,-0.103034091579302,-0.115170070717305,-0.0787500287146862,-0.0929876508673365
cat9,0.0348061058329722,0.0149832190492908,0.0482537381303862,0.0444463305674796,0.048782490997788,0.0471783350031545,0.0482603732456173
cat10,0.18909230662886,0.171054087531177,0.235482883990924,0.221301718303079,0.240388202840537,0.210139423600837,0.220003985859821
h0,-1.430045508501,-1.58792470649154,-1.61127795941423,-1.1895263630868,-1.61422354138894,-1.54079136976876,-1.54782001674281
h1,-1.10363579629614,-1.29346945907005,-1.26243508108258,-1.27364788673736,-1.28023587356798,-1.20427960854319,-1.21974867404022
h2,-0.940831695715743,-1.15878402397933,-1.07799799565768,-1.18255947335078,-1.10601925378094,-1.04229664656291,-1.05487183622804
h3,-0.832206057637769,-1.10743429236235,-0.947198581444123,-1.06742760460835,-0.986154826330139,-0.93313051666689,-0.943967594540448
h4,-0.748802507538117,-1.08990980648884,-0.842977929594515,-0.969364945903578,-0.89146328795158,-0.852201867541857,-0.858104882755304
h5,-0.834358032715568,-1.11549435791428,-0.766731432916731,-0.892756535074997,-0.820253201808827,-0.79711970707655,-0.896661843040251
h6,-0.860257529803667,-1.12003625896474,-0.702645336098292,-0.83651756942286,-0.763994083619542,-0.927790820487413,-0.894780719273789
h7,-0.867887483046045,-1.11994609903463,-0.649157501064039,-0.793906356191152,-0.718393156222747,-0.908353905704693,-0.882315449861225
h8,-0.879440637112146,-1.121680823185,-0.60673415158037,-0.759275410811211,-0.683470445360553,-0.902997988912251,-0.876135675788301
h9,-0.89386110562997,-1.1248701657331,-0.568781146801207,-0.72624114066244,-0.651451903758822,-0.890670990071873,-0.871891579472924
h10,-0.905283294537986,-1.12760888017168,-0.53125981246422,-0.69370042722084,-0.620021419592611,-0.879690859017023,-0.864024040966344
h11,-0.914808485006583,-1.13037072099794,-0.504058727906064,-0.663345036792391,-0.59935660746938,-0.864909169647581,-0.860627593440851
h12,-0.924450917089906,-1.13272056027591,-0.483032919484872,-0.636247902864594,-0.584764108750885,-0.852911338764762,-0.861654395501189
h13,-0.934202393773661,-1.13509561804272,-0.458589566095193,-0.614156282917876,-0.565915896977853,-0.837794234800909,-0.858894862487669
h14,-0.943576178897121,-1.13738518543275,-0.437387286721588,-0.598693300670812,-0.550610613838762,-0.823912505906715,-0.856836094180018
h15,-0.953165336781266,-1.13966182915473,-0.417804937382557,-0.588606125916633,-0.535652138560262,-0.812258084290285,-0.85560271716553
h16,-0.962741970055071,-1.1418589968771,-0.402537033246374,-0.579937727826567,-0.524890835262921,-0.798859999383254,-0.856456014243231
h17,-0.972120783356857,-1.1440202483854,-0.383321031390312,-0.563616026341429,-0.510259914491962,-0.786703934825031,-0.851665939220291
h18,-0.981252855158624,-1.14612507089826,-0.367932103016291,-0.529954878256796,-0.500515502590253,-0.775540959864932,-0.850804965585732
h19,-0.990128232333171,-1.14817637345404,-0.351632433738864,-0.466052517055057,-0.48892798171875,-0.758162078127159,-0.848699591566669
h20,-0.998689670524522,-1.15014460621797,-0.33948088335711,-0.358813186680134,-0.481340928119846,-0.747701993028942,-0.849272978559692
