0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.999,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.998,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.997,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.996,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.995,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.994,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.993,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.992,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.991,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.99,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.989,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.988,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.987,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.986,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.985,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.984,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.983,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.982,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.981,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.98,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.979,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.978,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.977,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.976,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4
0.975,1,1,2,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4
0.974,1,1,2,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4
0.973,1,1,2,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4
0.972,1,1,2,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4
0.971,1,1,2,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4
0.97,1,1,2,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4
0.969,1,1,2,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4
0.968,1,1,2,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4
0.967,1,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4
0.966,1,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4
0.965,1,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4
