VARIABLE,svar,bvar,lp_corrbias,lp_penalize,lp_lagaug,lp_gls,varlp_avg
cat1,0.117437438234933,0.371656452771511,0.175052020221297,-0.114238807628792,0.338448800543541,-0.0491170351727853,0.200842780813207
cat2,-0.0415349962445947,0.0976536216573588,-0.0763277942977575,-0.0140773850607516,0.120150687657589,0.0880375295593804,-0.0303461336223363
cat3,0.020989407933699,0.115747665452018,-0.0778709995557287,-0.0373677509991401,0.0934428060545147,0.0495283990182206,0.0220483316429186
cat4,-0.18357483600084,-0.0493195873449933,-0.393183816450955,-0.0818522157370764,-0.134140520144736,-0.0889108351156008,-0.230682810704705
cat5,0.0604783171000936,0.154058046916919,-0.023708176182445,0.142678589635756,0.19997293598274,-0.100585874491658,0.149794527536163
cat6,-0.204672477365911,-0.0405011379043128,-0.0852866095702616,-0.0964485410030515,0.0184246370865532,0.103573172039394,-0.114666259202282
cat7,-0.185387988107309,-0.00331883847025545,-0.634867462690621,-0.219708261475675,-0.172498192576297,-0.00734836847582512,-0.240123664447446
cat8,-0.710975241087309,-0.562128489339573,-0.660654810075832,0.086692649356551,-0.485382730355089,0.000685395244577816,-0.597089298687396
cat9,-0.0958984663029511,0.0524100952259496,-0.252287187705459,-0.109351080572718,-0.0959964191623165,-0.119083111031571,-0.155853150462289
cat10,-0.239793098733281,-0.00835173279819982,-0.161823243517451,-0.145877826607536,-0.392350526821351,-0.148674592912182,-0.233699559808314
h0,-17.4027150168264,-17.8315921406739,-17.4578552991454,-1.42978480014215,-18.2423380169589,-18.2488804050997,-17.6746871610104
h1,-2.59245248200389,-2.30528562607125,-3.06012492199754,-1.28898946845327,-3.69576415148516,-3.73178460733988,-2.95335219352759
h2,-2.0777977711534,-2.31534025388533,-2.55125313597753,-1.71714951403545,-3.03940909613973,-1.73743072196097,-2.39578553435746
h3,-1.79264323148098,-1.90815123790668,-2.26360937110877,-1.64090370038394,-2.66087374945055,-1.39567970007346,-2.06440687345653
h4,-1.28683147187053,-1.56750183271365,-2.00983315176501,-1.541491807833,-2.36957012575211,-1.21450363119833,-1.6360590209526
h5,-0.881060116702771,-1.40735857755675,-1.75171305100118,-1.32984486710186,-2.11475294172593,-0.89073355719652,-1.3819220137851
h6,-0.833302031565136,-1.27305063453567,-1.68044594788406,-1.32977355502076,-1.89045010265984,-0.816398905877476,-1.24233511585953
h7,-0.80811130685808,-1.1612302498264,-1.49764759764537,-1.25314889697892,-1.72240155568787,-0.772744529276145,-1.19607219287445
h8,-0.86432634177391,-1.1134957278672,-1.4457190385618,-1.21751651201586,-1.62504329084063,-0.848747770246819,-1.13907831192512
h9,-0.844395657205139,-1.10905703349107,-1.45276273477595,-1.21020501595767,-1.52388578413541,-0.938575592547764,-1.10562571357176
h10,-0.82704124186607,-1.11330109357976,-1.37085878476163,-1.17678863422068,-1.48744439623569,-0.96250030976999,-1.04726936894669
h11,-0.766140899708689,-1.18774307493183,-1.18631461133201,-1.1652804552639,-1.44602271294493,-1.04269544711745,-1.0412002339836
h12,-0.787359593356384,-1.23002477945773,-1.16464606204647,-1.13286317928688,-1.3934231835956,-1.02703816971346,-1.05476143194869
h13,-0.80927330567397,-1.3137516633306,-1.04514505859837,-1.08214570915735,-1.34719663572469,-1.03625976590823,-1.01438146194786
h14,-0.830906554604634,-1.43004487773567,-0.980364628835175,-1.04111661456944,-1.32296775396897,-1.04966616769582,-0.990678047473051
h15,-0.835989221014778,-1.40406380423809,-0.949034549710089,-1.01241098268848,-1.25563549743476,-0.963585403865122,-0.948798880402163
h16,-0.737899797672765,-1.36112525530954,-0.938947883214042,-0.968284390490481,-1.22077600708748,-0.94298379363089,-0.869738483766814
h17,-0.621808204560709,-1.29221078394172,-0.843970702666993,-0.896649390136839,-1.18940615991032,-0.919559424858417,-0.801470313018498
h18,-0.541671595205037,-1.27214768574268,-0.803323332412708,-0.765934301925408,-1.10448307896881,-0.861075004251568,-0.71924582501941
h19,-0.510854391390811,-1.23165427024399,-0.78025465036876,-0.663007754710184,-1.0868397286551,-0.864350342667727,-0.662692645636143
h20,-0.458207215152614,-1.21095042614682,-0.76238791368151,-0.477380282583232,-1.04533033197356,-0.805545199083739,-0.660302135039637
