VARIABLE,svar,bvar,lp_corrbias,lp_penalize,lp_lagaug,lp_gls,varlp_avg
cat1,0.123846448662399,0.401544135687668,0.198642417036757,-0.102348388054646,0.351134592522888,-0.0274913978601403,0.22948121099213
cat2,-0.0464931583133123,0.103693197273867,-0.0889004111135108,-0.0152954381974802,0.0921212876157306,0.0981840017435289,-0.0462887904345339
cat3,0.0272571025896552,0.135662120312957,-0.0526544592024915,-0.0376653994018872,0.0831273427369659,0.0833053198918175,0.0284918524003534
cat4,-0.148605393622625,0.00640685416890725,-0.411152152732567,-0.0962576408009284,-0.160604735097798,-0.027689702826411,-0.206670863242683
cat5,0.0972982953934798,0.159702200265241,-0.0203531841159726,0.161615851304372,0.138190891266232,-0.0638563456685593,0.143121647644976
cat6,-0.148039880008024,-0.0133561896882661,-0.0729230330963399,-0.0730926596551136,0.0259038198335966,0.133963862531153,-0.0838324698274894
cat7,-0.171770292764108,-0.0119768429728158,-0.552415243045933,-0.222389624198126,-0.144846591534738,0.0336658661292408,-0.231353723727337
cat8,-0.687494068591841,-0.509201472756056,-0.636650690310284,0.0874463320323036,-0.467795898761509,0.0244970234987763,-0.573451472391393
cat9,-0.154566131996314,0.0448369008844481,-0.221646631718849,-0.132520421843287,-0.10447905025738,-0.117169744461783,-0.179600448471307
cat10,-0.234412785600212,0.0414156470828229,-0.17971452376409,-0.165380104084513,-0.424672269104701,-0.142505000371299,-0.255094185927768
h0,-17.5308643481952,-17.9285838314879,-17.5701212190003,-1.56739577959071,-18.199600487769,-18.4032692138658,-17.7838711200946
h1,-2.70671203234882,-2.4619354092386,-3.01381665142216,-1.34037664424318,-3.72404632436262,-3.829747113011,-3.15940657840235
h2,-2.16141713421979,-2.47494624041642,-2.56630673148331,-1.70557454609626,-3.02642171693415,-1.87398250362025,-2.47134932134608
h3,-1.88735131904107,-2.03171929798658,-2.34351525415481,-1.63169896471398,-2.66656822691137,-1.51444147677138,-2.14053952587261
h4,-1.42274641001663,-1.73783600423332,-2.09213472047733,-1.46976282438992,-2.35342094925091,-1.35250688644741,-1.71126140292323
h5,-1.01418553817794,-1.46361456485345,-1.78778097792868,-1.34249989157231,-2.07580865924783,-1.02046458914685,-1.47679922330648
h6,-0.865552382617569,-1.37508626896364,-1.74190361633711,-1.4014418391007,-1.89094654390778,-0.941444605228073,-1.35592063894164
h7,-0.875451449173746,-1.24632824265341,-1.55369745562701,-1.28001274031202,-1.75227673855618,-0.894189531005747,-1.2519501870776
h8,-0.877429237763848,-1.19186320988687,-1.56457908005351,-1.24838059001814,-1.62346207030849,-1.00526676741907,-1.19365951135233
h9,-0.873009905321795,-1.19684554102069,-1.49122068514447,-1.22533629394833,-1.60862171967056,-1.02603412341936,-1.19767425821727
h10,-0.949023132592348,-1.2186116508302,-1.3944723156756,-1.16776827430333,-1.54953176924585,-1.13894958317849,-1.19310876089833
h11,-0.908413817037949,-1.27622832077832,-1.20698499177596,-1.18740101430321,-1.41339556639061,-1.16092451093875,-1.11179137143421
h12,-0.916074850283414,-1.35237879732256,-1.20519229023939,-1.16224940689495,-1.42327245109604,-1.14106864351903,-1.08156015806057
h13,-0.904305956228691,-1.42925586481615,-1.14557894880704,-1.11873105975872,-1.33893681697261,-1.18720672551987,-1.06036460139798
h14,-0.917915592207835,-1.50604062581765,-0.990216297853144,-1.04701516522463,-1.27464339789962,-1.11654300526646,-1.03568634511025
h15,-0.822503508991214,-1.47992663220527,-0.94029249299577,-1.02815223063723,-1.23637029345252,-1.06355001565251,-0.972632205204728
h16,-0.721375851539539,-1.39755573268053,-0.900617686438557,-1.00583267969997,-1.2567256880731,-1.07041356986757,-0.927959446779602
h17,-0.626491230585202,-1.34059524639852,-0.895637219475324,-0.924780603916894,-1.16179718739428,-1.05051223142935,-0.840916899593168
h18,-0.573682162749814,-1.30977619871731,-0.853961266901446,-0.775178023837018,-1.07626668732417,-0.97832639296149,-0.815643033155533
h19,-0.517227591546788,-1.28395932123449,-0.827368220059041,-0.675220206248453,-1.03932749867173,-0.937667937199609,-0.718277697069783
h20,-0.445827974571141,-1.29118513928029,-0.789838180771196,-0.493229302702974,-0.986572337371815,-0.922948677994432,-0.705527366767115
