VARIABLE,svar,bvar,lp_corrbias,lp_penalize,lp_lagaug,lp_gls,varlp_avg
cat1,NaN,NaN,0.433644861508818,-0.0601644518708587,0.432044258438787,0.627554602619116,0.431964551478638
cat2,NaN,NaN,0.0917104188990401,-0.060510731863945,0.0911577396635843,0.141788608182517,0.0894429563559504
cat3,NaN,NaN,0.187550632145582,0.0539404075866694,0.187934049705323,0.356258460182334,0.185005059770122
cat4,NaN,NaN,-0.152810934528359,-0.155981413603783,-0.147961810621967,0.0195765519039068,-0.156276610632044
cat5,NaN,NaN,-0.073663793887855,-0.200525169446211,-0.0849117752550643,-0.203415524118699,-0.0645244161946287
cat6,NaN,NaN,0.0560447525059633,0.0316635197552799,0.0699088286486683,0.271846942772821,0.0298839533281038
cat7,NaN,NaN,0.0670406122688909,0.0641990561554199,0.0615696105540897,0.264383438448357,0.0758582254440136
cat8,NaN,NaN,-0.678578248281326,-0.0512382380883576,-0.674862383610862,-0.504377669230837,-0.683370611318295
cat9,NaN,NaN,-0.0881911962932836,-0.100051549889501,-0.0872400274910337,-0.0617334755622305,-0.0887400136631241
cat10,NaN,NaN,0.0316683319554294,0.0124766928474381,0.0355212646489394,0.0461203284625766,0.0213302123188933
h0,NaN,NaN,-17.6629877017942,-0.528612013484593,-17.6720853327948,-18.4801037135671,-17.966037214053
h1,NaN,NaN,-0.703160915037896,-0.578824420249694,-0.7123316399327,-1.52655151975756,-0.679864322383015
h2,NaN,NaN,-0.434012470542969,-0.425726990513039,-0.455681341171167,-1.37645402561126,-0.429762412729949
h3,NaN,NaN,-0.280834227790025,-0.269854813375578,-0.314512684600334,-1.24463565268997,-0.295919970551617
h4,NaN,NaN,-0.157722935723114,-0.144808534884488,-0.202209638585498,-1.1391969284064,-0.252872803957291
h5,NaN,NaN,-0.0571385429385375,-0.0466280953910954,-0.112105914288551,-1.16009124935281,-0.188851769912444
h6,NaN,NaN,0.0204894517451179,0.0291241582003905,-0.0441286103856437,-1.1100997468612,-0.130926697392522
h7,NaN,NaN,0.0849765914057782,0.0901856865344797,0.0114780284578237,-1.07773735360842,-0.0858488285191791
h8,NaN,NaN,0.137976076080158,0.141681030819542,0.0561879334809302,-1.04724234442709,-0.0508828257908468
h9,NaN,NaN,0.186234699106521,0.18623614017994,0.0966032936782791,-1.02852923037846,-0.0249135736062929
h10,NaN,NaN,0.22409914340814,0.226171154991557,0.126615162899956,-1.01266327240915,-0.008437105849807
h11,NaN,NaN,0.260674602115059,0.261688845481855,0.156508477342022,-0.997308662254304,0.00658370204866245
h12,NaN,NaN,0.291602755243365,0.29215267008904,0.179652881332122,-0.984396983291864,0.0151179110166118
h13,NaN,NaN,0.317090444063573,0.316575263433733,0.197632660977324,-0.973434797878245,0.0193297176295763
h14,NaN,NaN,0.342383145819512,0.33596044003693,0.215170827791406,-0.962452206324962,0.0248913331074898
h15,NaN,NaN,0.367111248648816,0.351549227267175,0.232051513107934,-0.95082484019798,0.0293670054423324
h16,NaN,NaN,0.388479534104555,0.366707356487446,0.246334107997681,-0.939068857863091,0.0313199752477861
h17,NaN,NaN,0.409582360209355,0.387842992240769,0.260729878011267,-0.930061020778656,0.0339226534932035
h18,NaN,NaN,0.429928293253906,0.4234409044706,0.274565834748703,-0.922008881525619,0.0362250808580135
h19,NaN,NaN,0.450917612526409,0.482361217609636,0.28981767415511,-0.909988031043093,0.0395276869732862
h20,NaN,NaN,0.471360541888343,0.576596723245654,0.303650588259922,-0.899033466328028,0.0435588038001239
