0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.999,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.998,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.997,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.996,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.995,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.994,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.993,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.992,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.991,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.99,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.989,6,6,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4
0.988,6,6,4,4,4,4,4,4,4,4,4,4,5,4,8,4,4,4,4,4,4
0.987,6,6,4,4,4,4,4,4,4,4,4,4,5,8,8,4,4,4,4,4,4
0.986,6,6,4,4,4,4,4,4,4,4,4,5,5,8,8,8,4,4,4,4,4
0.985,6,6,4,4,4,4,4,4,4,4,4,5,5,8,8,8,4,4,4,4,4
0.984,6,6,4,4,4,4,4,4,4,4,4,5,5,8,8,8,4,4,4,4,4
0.983,6,6,4,4,4,4,4,4,4,4,4,5,5,8,8,8,8,4,4,4,4
0.982,6,6,4,4,4,4,4,4,4,4,4,5,5,8,8,8,8,8,4,4,4
0.981,6,6,4,4,4,4,4,4,4,4,4,5,8,8,8,8,8,8,4,4,4
0.98,6,6,4,4,4,4,4,4,4,4,8,5,8,8,8,8,8,8,8,8,4
0.979,6,6,4,4,4,4,4,4,4,4,8,5,8,8,8,8,8,8,8,8,8
0.978,6,6,4,4,4,4,4,4,4,4,8,5,8,8,8,8,8,8,8,8,8
0.977,6,6,4,4,4,4,4,4,4,4,8,5,8,8,8,8,8,8,8,8,8
0.976,6,6,4,4,4,4,4,4,4,4,8,5,8,8,8,8,8,8,8,8,8
0.975,6,8,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8
0.974,6,8,4,4,4,4,4,4,4,5,8,8,8,8,8,8,8,8,8,8,8
0.973,6,8,4,4,4,4,4,4,4,5,8,8,8,8,8,8,8,8,8,8,8
0.972,6,8,4,4,4,4,4,4,4,5,8,8,8,8,8,8,8,8,8,8,8
0.971,6,8,4,4,4,4,4,4,4,5,8,8,8,8,8,8,8,8,8,8,8
0.97,6,8,4,4,4,4,4,4,4,5,8,8,8,8,8,8,8,8,8,8,8
0.969,6,8,4,4,4,4,4,4,4,5,8,8,8,8,8,8,8,8,8,8,8
0.968,6,8,4,4,4,4,4,4,4,5,8,8,8,8,8,8,8,8,8,8,8
0.967,6,8,4,4,4,4,4,4,4,5,8,8,8,8,8,8,8,8,8,8,8
0.966,1,8,4,4,4,4,4,4,4,5,8,8,8,8,8,8,8,8,8,8,8
0.965,1,8,4,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,8,8,8
0.964,1,8,4,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,8,8,8
0.963,1,8,4,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,8,8,8
0.962,1,8,4,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,8,8,8
0.961,1,8,4,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,8,8,8
0.96,1,8,4,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,8,8,8
0.959,1,8,4,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,8,8,8
0.958,1,8,4,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,8,8,8
0.957,1,8,4,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,8,8,8
0.956,1,8,4,4,4,4,4,4,5,5,8,8,8,8,8,8,8,8,8,8,8
0.955,1,8,4,4,4,4,4,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.954,1,8,4,4,4,4,4,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.953,1,8,4,4,4,4,4,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.952,1,8,4,4,4,4,4,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.951,1,8,4,4,4,4,4,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.95,1,8,4,4,4,4,4,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.949,2,8,4,4,4,4,4,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.948,2,8,4,4,4,4,4,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.947,2,8,4,8,4,4,4,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.946,2,8,4,8,4,4,4,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.945,2,8,4,8,4,4,5,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.944,2,8,4,8,4,4,5,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.943,2,8,8,8,4,4,5,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.942,2,8,8,8,4,4,5,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.941,2,8,8,8,4,4,5,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.94,2,1,8,8,4,4,5,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.939,2,1,8,8,8,4,5,8,5,5,8,8,8,8,8,8,8,8,8,8,8
0.938,2,1,8,8,8,4,5,8,5,5,8,8,1,8,8,8,8,8,8,8,8
0.937,2,1,8,8,8,4,5,8,5,8,8,8,1,8,8,8,8,8,8,8,8
0.936,2,1,8,8,8,5,5,8,5,8,8,8,1,8,8,8,8,8,8,8,8
0.935,2,1,8,8,8,5,5,8,5,8,8,8,1,8,8,8,8,8,8,8,8
0.934,2,1,8,8,8,5,5,8,5,8,8,8,1,8,8,8,8,8,8,8,8
0.933,2,1,8,8,8,5,5,8,5,8,8,8,1,8,8,8,8,8,8,8,8
0.932,2,1,8,8,8,5,5,8,5,8,8,8,1,8,8,8,8,8,8,8,8
0.931,2,1,8,8,8,5,5,8,5,8,8,8,1,8,8,8,8,8,8,8,8
0.93,2,1,8,8,8,5,5,8,5,8,8,8,1,8,8,8,8,8,8,8,8
0.929,2,1,8,8,8,5,5,8,5,8,8,8,1,8,8,8,8,8,8,8,8
0.928,2,1,8,8,8,5,5,8,5,8,8,8,1,8,8,8,8,8,8,8,8
0.927,2,1,8,8,8,5,5,5,5,8,8,8,1,8,8,8,8,8,8,8,8
0.926,2,1,8,8,8,5,5,5,5,8,8,8,1,1,8,8,8,8,8,8,8
0.925,2,1,8,8,8,5,5,5,5,8,8,1,1,1,8,8,8,8,8,8,8
0.924,2,1,8,8,8,5,5,5,5,8,8,1,1,1,8,8,8,8,8,8,8
0.923,2,1,8,8,8,5,5,5,5,8,8,1,1,1,8,8,8,8,8,8,8
0.922,2,1,8,8,8,5,5,5,5,8,8,1,1,1,8,8,8,8,8,8,8
0.921,2,1,8,8,8,5,5,5,5,8,8,1,1,1,8,8,8,8,8,8,8
0.92,2,1,8,8,8,5,5,5,5,8,8,1,1,1,8,8,8,8,8,8,8
0.919,2,1,8,8,8,5,5,5,5,8,8,1,1,1,8,8,8,8,8,8,8
0.918,2,1,8,8,8,5,5,5,5,8,8,1,1,1,8,8,8,8,8,8,8
0.917,2,1,8,8,8,5,5,5,5,8,8,1,1,1,8,8,8,8,8,8,8
0.916,2,1,2,8,8,5,5,5,5,8,8,1,1,1,8,8,8,8,8,8,8
0.915,2,1,2,8,8,5,5,5,5,8,8,1,1,1,8,8,8,8,8,8,8
0.914,2,1,2,8,8,5,5,5,5,8,8,1,1,1,8,8,8,8,8,8,8
0.913,2,1,2,8,8,5,5,5,5,8,8,1,1,1,8,8,8,8,8,8,8
0.912,2,1,2,8,8,5,5,5,5,8,8,1,1,1,8,8,8,8,8,8,8
0.911,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,8,8,8,8,8
0.91,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,8,8,8,8,8
0.909,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,8,8,8,8,8
0.908,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,8,8,8,8,8
0.907,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,8,8,8,8,8
0.906,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,8,8,8,8,8
0.905,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,2,8,8,8,8
0.904,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,2,8,8,8,8
0.903,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,2,8,8,8,8
0.902,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,2,8,8,8,8
0.901,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,2,8,8,8,8
0.9,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,2,2,8,8,8
0.899,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,2,2,8,8,8
0.898,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,2,2,8,8,8
0.897,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,2,2,8,8,8
0.896,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,2,2,8,8,8
0.895,2,1,2,8,8,5,5,5,5,8,8,1,1,1,2,2,2,2,2,8,8
0.894,2,1,2,2,8,5,5,5,5,8,8,1,1,1,2,2,2,2,2,8,8
0.893,2,1,2,2,8,5,5,5,5,8,8,1,1,1,2,2,2,2,2,8,8
0.892,2,1,2,2,8,5,5,5,5,8,8,1,1,1,2,2,2,2,2,2,8
0.891,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.89,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.889,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.888,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.887,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.886,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.885,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.884,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.883,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.882,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.881,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.88,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.879,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.878,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.877,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.876,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.875,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.874,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.873,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.872,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.871,2,1,2,2,8,5,5,5,5,8,8,1,1,2,2,2,2,2,2,2,2
0.87,2,1,2,2,8,5,5,5,5,8,1,1,1,2,2,2,2,2,2,2,2
0.869,2,1,2,2,8,5,5,5,5,8,1,1,1,2,2,2,2,2,2,2,2
0.868,2,1,2,2,8,5,5,5,5,8,1,1,1,2,2,2,2,2,2,2,2
0.867,2,1,2,2,8,5,5,5,5,8,1,1,1,2,2,2,2,2,2,2,2
0.866,2,1,2,2,8,5,5,5,5,8,1,1,1,2,2,2,2,2,2,2,2
0.865,2,1,2,2,8,5,5,5,5,8,1,1,1,2,2,2,2,2,2,2,2
0.864,2,1,2,2,8,5,5,5,5,8,1,1,1,2,2,2,2,2,2,2,2
0.863,2,1,2,2,8,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.862,2,1,2,2,8,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.861,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.86,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.859,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.858,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.857,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.856,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.855,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.854,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.853,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
0.852,2,1,2,2,5,5,5,5,5,8,1,1,2,2,2,2,2,2,2,2,2
