DATES,LIP,LCPI,MP1_TC,FF4_TC,GS1,EBP
1984,4.004089749,4.625952725,,,9.90,0.0551
1984.083333,4.008646867,4.630837933,,,10.04,-0.0536
1984.166667,4.013336945,4.633757643,,,10.59,0.0272
1984.25,4.019814963,4.637637376,,,10.90,0.1443
1984.333333,4.024419113,4.639571613,,,11.66,-0.2924
1984.416667,4.027889539,4.641502115,,,12.08,-0.0099
1984.5,4.031383463,4.645351976,,,12.03,-0.124
1984.583333,4.031791624,4.648229675,,,11.82,0.2201
1984.666667,4.030145539,4.651099118,,,11.58,-0.021
1984.75,4.028733466,4.654912278,,,10.90,-0.2383
1984.833333,4.032616311,4.656813419,,,9.82,-0.0709
1984.916667,4.033557219,4.658710953,,,9.33,-0.0017
1985,4.031307136,4.660604893,,,9.02,-0.0763
1985.083333,4.035399259,4.666265285,,,9.29,-0.0977
1985.166667,4.036934352,4.670957927,,,9.86,0.1362
1985.25,4.034306123,4.672828834,,,9.14,-0.0327
1985.333333,4.035565424,4.674696249,,,8.46,-0.1961
1985.416667,4.036305761,4.677490848,,,7.80,0.2143
1985.5,4.029573125,4.679349584,,,7.86,0.1359
1985.583333,4.033668793,4.681204872,,,8.05,0.1477
1985.666667,4.038158617,4.683056725,,,8.07,0.2519
1985.75,4.034028226,4.686750173,,,8.01,0.2964
1985.833333,4.037493748,4.691347882,,,7.88,0.2905
1985.916667,4.047742003,4.695924549,,,7.67,0.033
1986,4.05256725,4.699570861,,,7.73,0.3394
1986.083333,4.045653143,4.697749367,,,7.61,-0.2855
1986.166667,4.039016825,4.692264893,,,7.03,0.5874
1986.25,4.039631392,4.688591794,,,6.44,0.5461
1986.333333,4.041377939,4.691347882,,,6.65,0.0285
1986.416667,4.038396592,4.69501089,,,6.73,0.0202
1986.5,4.043542375,4.695924549,,,6.27,0.7755
1986.583333,4.042496728,4.696837375,,,5.93,0.7104
1986.666667,4.044304868,4.700480366,,,5.77,0.3145
1986.75,4.048878118,4.702296897,,,5.72,0.5473
1986.833333,4.05337846,4.704110134,,,5.80,0.6725
1986.916667,4.061935,4.707726774,,,5.87,0.7033
1987,4.058822733,4.713127327,,,5.78,0.5582
1987.083333,4.071517666,4.716711561,,,5.96,0.6343
1987.166667,4.073292855,4.720282993,,,6.03,0.522
1987.25,4.079504999,4.724729421,,,6.50,-0.3897
1987.333333,4.085910764,4.727387819,,,7.00,0.2571
1987.416667,4.090629336,4.731802837,,,6.80,0.2423
1987.5,4.097534469,4.734442522,,,6.68,0.4843
1987.583333,4.105813541,4.738826571,,,7.03,0.4687
1987.666667,4.108155418,4.742320024,,,7.67,0.4904
1987.75,4.12262747,4.744932128,,,7.59,-0.8548
1987.833333,4.127784174,4.748404354,,,6.96,0.2629
1987.916667,4.132657812,4.750135956,,,7.17,0.0035
1988,4.133178983,4.753590191,,,6.99,-0.1863
1988.083333,4.1375557,4.755312844,,,6.64,0.2273
1988.166667,4.139784677,4.757891273,,,6.71,-0.051
1988.25,4.145124808,4.763881877,,,7.01,-0.0012
1988.333333,4.144020049,4.766438334,,,7.40,0.0476
1988.416667,4.146627034,4.770684624,,,7.49,0.0926
1988.5,4.147250056,4.774912961,,,7.75,-0.2338
1988.583333,4.151705826,4.779123493,,,8.17,-0.0149
1988.666667,4.148878517,4.783316371,,,8.09,0.1479
1988.75,4.153710353,4.786658062,,,8.11,0.239
1988.833333,4.155333039,4.789988623,0.0423187,,8.48,0.1022
1988.916667,4.160015255,4.793308128,0.0379436,,8.99,0.2305
1989,4.16311163,4.797442074,-0.0120248,,9.05,0.1385
1989.083333,4.158453304,4.80073697,0.0326369,,9.25,-0.0048
1989.166667,4.160952815,4.805659047,0.1175115,,9.57,0.2814
1989.25,4.162049939,4.812997033,-0.0632258,,9.36,0.5073
1989.333333,4.154587935,4.817859279,-0.0107129,,8.98,0.2289
1989.416667,4.155206019,4.821087692,-0.0218438,,8.44,0.4097
1989.5,4.145875412,4.824305716,-0.0248495,,7.89,0.6447
1989.583333,4.154645995,4.824305716,-0.0130639,,8.18,0.3529
1989.666667,4.15156103,4.826712456,0,,8.22,0.3746
1989.75,4.150570504,4.831508628,-0.0755613,,7.99,0.2763
1989.833333,4.153956907,4.835487941,-0.1908154,,7.77,0.4661
1989.916667,4.159881023,4.838660029,-0.0956575,,7.72,0.408
1990,4.153647527,4.848116365,-0.1036358,0,7.92,0.1223
1990.083333,4.163004267,4.852030264,-0.0105,-0.015,8.11,0.2427
1990.166667,4.168435749,4.856706812,-0.0035,-0.0075806,8.35,0.35
1990.25,4.167388993,4.85903691,0,-0.0174194,8.40,-0.0302
1990.333333,4.169028321,4.860587298,0,0,8.32,-0.0717
1990.416667,4.172386809,4.866764924,0,0,8.10,0.037
1990.5,4.171347269,4.871373227,-0.0844397,-0.0664516,7.94,0.0076
1990.583333,4.174081069,4.879767019,-0.0533303,-0.0335484,7.78,-0.2701
1990.666667,4.175927621,4.886582645,0,0,7.76,-0.0505
1990.75,4.168276328,4.893352133,0.0074526,-0.011281,7.55,0.1004
1990.833333,4.156509957,4.895598484,-0.0157576,-0.0130424,7.31,0.26
1990.916667,4.149661003,4.899331225,-0.1617195,-0.0956667,7.05,0.1931
1991,4.145392493,4.903050083,-0.2395413,-0.1674193,6.64,0.2213
1991.083333,4.138568763,4.903792198,-0.1030241,-0.2304378,6.27,0.1405
1991.166667,4.133042703,4.903792198,-0.0240903,-0.0363364,6.40,0.0952
1991.25,4.135323344,4.906015245,-0.0288599,-0.0321398,6.24,0.0926
1991.333333,4.145025002,4.909709376,-0.1633722,-0.1946344,6.13,0.107
1991.416667,4.154361941,4.912654886,0.0087522,-0.0090322,6.36,0.0332
1991.5,4.154832704,4.914124394,0,0.0087097,6.31,0.116
1991.583333,4.155701465,4.917056947,-0.112,-0.0803226,5.78,0.0752
1991.666667,4.1646539,4.919980926,0.0182359,0.0016129,5.57,0.0893
1991.75,4.16263074,4.921439715,-0.0334573,-0.0025806,5.33,0.0863
1991.833333,4.161683845,4.925803359,-0.111752,-0.1374193,4.89,0.0964
1991.916667,4.157511831,4.928701911,-0.1369421,-0.1206452,4.38,0.0283
1992,4.151458716,4.929425239,-0.1983844,-0.1493548,4.15,-0.0394
1992.083333,4.158726821,4.931592087,0.0104358,0,4.29,-0.0127
1992.166667,4.167429273,4.935193099,0.0021741,0,4.63,-0.0376
1992.25,4.174674921,4.937347498,-0.146796,-0.1493334,4.30,-0.0148
1992.333333,4.178126424,4.939497266,-0.0571439,-0.0467997,4.19,-0.0962
1992.416667,4.178238307,4.942356453,0,0.0061229,4.17,-0.1483
1992.5,4.186998186,4.945207489,-0.0827613,-0.2903225,3.60,-0.2332
1992.583333,4.182153954,4.947340444,0.0080731,-0.0054839,3.47,-0.063
1992.666667,4.184310182,4.949468859,0.0149982,0.0148064,3.18,0.0109
1992.75,4.191882562,4.953712147,0,0.0090646,3.30,0.0008
1992.833333,4.196218005,4.956531035,-0.0216625,0.0019355,3.68,0.0508
1992.916667,4.197080136,4.957937505,-0.0170834,-0.0029032,3.71,0.0825
1993,4.201423101,4.96144505,0.0274858,-0.0070968,3.50,0.0345
1993.083333,4.205422204,4.963543687,0,-0.0178571,3.39,-0.0111
1993.166667,4.20472844,4.964940335,0,-0.0021429,3.33,0.0012
1993.25,4.207722353,4.968423445,0,0,3.24,0.0059
1993.333333,4.204280594,4.971201225,-0.0108318,-0.0083871,3.36,-0.0094
1993.416667,4.206143805,4.971894466,-0.0149982,-0.0116129,3.54,-0.0913
1993.5,4.209283557,4.973279508,0.0208721,0,3.47,-0.0981
1993.583333,4.20830995,4.97535348,0.0060878,0.0045161,3.44,-0.1259
1993.666667,4.213128578,4.976733742,0,0.0084839,3.36,-0.0376
1993.75,4.220665858,4.980863136,0,0.007,3.39,-0.1111
1993.833333,4.224808338,4.983606622,0.0107708,0,3.58,-0.1693
